__time,/vehicle/loader_joint_angles/data[0],/vehicle/loader_joint_angles/data[1],/vehicle/loader_joint_angles/layout/data_offset,/vehicle/loader_joint_pressures/data[0],/vehicle/loader_joint_pressures/data[1],/vehicle/loader_joint_pressures/layout/data_offset,lift,tilt,tilt1
1782647754.834130,1.327852130,0.361132652,0.000000000,,,,76.080387125,20.691394256,20.691394256
1782647754.844230,,,,6050.000000000,340.000000000,0.000000000,,,
1782647754.844264,1.328355551,0.361252487,0.000000000,,,,76.109231038,20.698260310,20.698260310
1782647754.854230,,,,5980.000000000,317.000000000,0.000000000,,,
1782647754.854242,1.328739047,0.361444235,0.000000000,,,,76.131203776,20.709246678,20.709246678
1782647754.864120,,,,5917.000000000,302.000000000,0.000000000,,,
1782647754.864132,1.329338193,0.361612022,0.000000000,,,,76.165532335,20.718860178,20.718860178
1782647754.874103,,,,5974.000000000,250.000000000,0.000000000,,,
1782647754.874115,1.329697728,0.361875653,0.000000000,,,,76.186132203,20.733965154,20.733965154
1782647754.884245,,,,6023.000000000,286.000000000,0.000000000,,,
1782647754.884276,1.330057263,0.361995518,0.000000000,,,,76.206732071,20.740832915,20.740832915
1782647754.894319,,,,6114.000000000,319.000000000,0.000000000,,,
1782647754.894336,1.330656409,0.362139314,0.000000000,,,,76.241060631,20.749071838,20.749071838
1782647754.904173,,,,6032.000000000,293.000000000,0.000000000,,,
1782647754.904192,1.331015944,0.362355024,0.000000000,,,,76.261660499,20.761431075,20.761431075
1782647754.914180,,,,5910.000000000,263.000000000,0.000000000,,,
1782647754.914207,1.331375480,0.362498850,0.000000000,,,,76.282260367,20.769671706,20.769671706
1782647754.924129,,,,5879.000000000,332.000000000,0.000000000,,,
1782647754.924145,1.331878901,0.362666637,0.000000000,,,,76.311104280,20.779285205,20.779285205
1782647754.934229,,,,6056.000000000,322.000000000,0.000000000,,,
1782647754.934256,1.332286358,0.362978220,0.000000000,,,,76.334449886,20.797137627,20.797137627
1782647754.944163,,,,6118.000000000,274.000000000,0.000000000,,,
1782647754.944177,1.332693815,0.363122016,0.000000000,,,,76.357795493,20.805376550,20.805376550
1782647754.954298,,,,6206.000000000,303.000000000,0.000000000,,,
1782647754.954353,1.333101273,0.363241881,0.000000000,,,,76.381141099,20.812244311,20.812244311
1782647754.964365,,,,6132.000000000,338.000000000,0.000000000,,,
1782647754.964399,1.333484769,0.363409638,0.000000000,,,,76.403113836,20.821856102,20.821856102
1782647754.974100,,,,6085.000000000,311.000000000,0.000000000,,,
1782647754.974114,1.333916187,0.363577425,0.000000000,,,,76.427832312,20.831469602,20.831469602
1782647754.984181,,,,6038.000000000,334.000000000,0.000000000,,,
1782647754.984205,1.334299684,0.363769174,0.000000000,,,,76.449805049,20.842455970,20.842455970
1782647754.994421,,,,6097.000000000,325.000000000,0.000000000,,,
1782647754.994476,1.334707141,0.363936961,0.000000000,,,,76.473150655,20.852069470,20.852069470
1782647755.004201,,,,6183.000000000,286.000000000,0.000000000,,,
1782647755.004248,1.335186481,0.364104718,0.000000000,,,,76.500614869,20.861681262,20.861681262
1782647755.014215,,,,6269.000000000,317.000000000,0.000000000,,,
1782647755.014243,1.335522056,0.364224583,0.000000000,,,,76.519841868,20.868549023,20.868549023
1782647755.024166,,,,6128.000000000,349.000000000,0.000000000,,,
1782647755.024183,1.335929513,0.364392340,0.000000000,,,,76.543187474,20.878160814,20.878160814
1782647755.034102,,,,6007.000000000,318.000000000,0.000000000,,,
1782647755.034110,1.336552739,0.364560127,0.000000000,,,,76.578895733,20.887774314,20.887774314
1782647755.044191,,,,5917.000000000,233.000000000,0.000000000,,,
1782647755.044214,1.336912274,0.364823788,0.000000000,,,,76.599495601,20.902880997,20.902880997
1782647755.054247,,,,6012.000000000,272.000000000,0.000000000,,,
1782647755.054270,1.337487459,0.364943624,0.000000000,,,,76.632451292,20.909747051,20.909747051
1782647755.064244,,,,6063.000000000,314.000000000,0.000000000,,,
1782647755.064257,1.337870955,0.365135372,0.000000000,,,,76.654424029,20.920733419,20.920733419
1782647755.074208,,,,6136.000000000,369.000000000,0.000000000,,,
1782647755.074230,1.338230491,0.365279198,0.000000000,,,,76.675023897,20.928974050,20.928974050
1782647755.084353,,,,6017.000000000,332.000000000,0.000000000,,,
1782647755.084427,1.338685870,0.365422994,0.000000000,,,,76.701115241,20.937212972,20.937212972
1782647755.094378,,,,5868.000000000,285.000000000,0.000000000,,,
1782647755.094401,1.339093328,0.365710616,0.000000000,,,,76.724460848,20.953692525,20.953692525
1782647755.104165,,,,5865.000000000,299.000000000,0.000000000,,,
1782647755.104188,1.339500785,0.365854442,0.000000000,,,,76.747806454,20.961933155,20.961933155
1782647755.114461,,,,6021.000000000,318.000000000,0.000000000,,,
1782647755.114526,1.339884281,0.365998238,0.000000000,,,,76.769779191,20.970172078,20.970172078
1782647755.127078,,,,6046.000000000,326.000000000,0.000000000,,,
1782647755.127121,1.340243816,0.366118073,0.000000000,,,,76.790379059,20.977038131,20.977038131
