__time,/vehicle/loader_joint_angles/data[0],/vehicle/loader_joint_angles/data[1],/vehicle/loader_joint_angles/layout/data_offset,/vehicle/loader_joint_pressures/data[0],/vehicle/loader_joint_pressures/data[1],/vehicle/loader_joint_pressures/layout/data_offset
1782819283.047068,,,,4629.000000000,385.000000000,0.000000000
1782819283.047124,0.177294627,-0.000503540,0.000000000,,,
1782819283.057109,,,,4627.000000000,357.000000000,0.000000000
1782819283.057180,0.177270666,-0.000503540,0.000000000,,,
1782819283.067091,,,,4647.000000000,396.000000000,0.000000000
1782819283.067153,0.177270666,-0.000503540,0.000000000,,,
1782819283.077195,,,,4641.000000000,385.000000000,0.000000000
1782819283.077263,0.177270666,-0.000527382,0.000000000,,,
1782819283.087096,,,,4642.000000000,376.000000000,0.000000000
1782819283.087152,0.177270666,-0.000527382,0.000000000,,,
1782819283.097053,,,,4645.000000000,393.000000000,0.000000000
1782819283.097093,0.177294627,-0.000527382,0.000000000,,,
1782819283.107107,,,,4658.000000000,393.000000000,0.000000000
1782819283.107151,0.177270666,-0.000503540,0.000000000,,,
1782819283.117000,,,,4618.000000000,361.000000000,0.000000000
1782819283.117052,0.177270666,-0.000527382,0.000000000,,,
1782819283.126991,,,,4670.000000000,400.000000000,0.000000000
1782819283.127044,0.177270666,-0.000527382,0.000000000,,,
1782819283.137009,,,,4658.000000000,387.000000000,0.000000000
1782819283.137090,0.177270666,-0.000551224,0.000000000,,,
1782819283.146914,,,,4634.000000000,373.000000000,0.000000000
1782819283.146956,0.177270666,-0.000527382,0.000000000,,,
1782819283.156932,,,,4633.000000000,385.000000000,0.000000000
1782819283.156981,0.177294627,-0.000503540,0.000000000,,,
1782819283.166854,,,,4608.000000000,364.000000000,0.000000000
1782819283.166893,0.177294627,-0.000503540,0.000000000,,,
1782819283.177020,,,,4580.000000000,336.000000000,0.000000000
1782819283.177078,0.177270666,-0.000503540,0.000000000,,,
1782819283.187051,,,,4614.000000000,342.000000000,0.000000000
1782819283.187114,0.177270666,-0.000527382,0.000000000,,,
1782819283.196910,,,,4612.000000000,383.000000000,0.000000000
1782819283.196965,0.177270666,-0.000527382,0.000000000,,,
1782819283.207055,,,,4630.000000000,360.000000000,0.000000000
1782819283.207121,0.177270666,-0.000527382,0.000000000,,,
1782819283.217082,,,,4686.000000000,402.000000000,0.000000000
1782819283.217161,0.177270666,-0.000503540,0.000000000,,,
1782819283.227028,,,,4665.000000000,395.000000000,0.000000000
1782819283.227095,0.177294627,-0.000503540,0.000000000,,,
1782819283.236923,,,,4595.000000000,377.000000000,0.000000000
1782819283.236977,0.177270666,-0.000527382,0.000000000,,,
1782819283.246948,,,,4639.000000000,376.000000000,0.000000000
1782819283.247010,0.177270666,-0.000527382,0.000000000,,,
1782819283.256909,,,,4612.000000000,372.000000000,0.000000000
1782819283.256956,0.177270666,-0.000527382,0.000000000,,,
1782819283.267057,,,,4587.000000000,345.000000000,0.000000000
1782819283.267135,0.177270666,-0.000527382,0.000000000,,,
1782819283.277055,,,,4623.000000000,389.000000000,0.000000000
1782819283.277139,0.177294627,-0.000503540,0.000000000,,,
1782819283.286973,,,,4598.000000000,357.000000000,0.000000000
1782819283.287023,0.177270666,-0.000503540,0.000000000,,,
1782819283.297065,,,,4666.000000000,408.000000000,0.000000000
1782819283.297150,0.177270666,-0.000503540,0.000000000,,,
1782819283.306980,,,,4626.000000000,381.000000000,0.000000000
1782819283.307049,0.177270666,-0.000527382,0.000000000,,,
1782819283.317080,,,,4658.000000000,411.000000000,0.000000000
1782819283.317174,0.177270666,-0.000527382,0.000000000,,,
1782819283.326970,,,,4629.000000000,380.000000000,0.000000000
1782819283.327050,0.177270666,-0.000503540,0.000000000,,,
1782819283.336979,,,,4625.000000000,376.000000000,0.000000000
1782819283.337038,0.177294627,-0.000503540,0.000000000,,,
1782819283.346868,,,,4641.000000000,412.000000000,0.000000000
1782819283.346923,0.177270666,-0.000479221,0.000000000,,,
1782819283.357154,,,,4595.000000000,363.000000000,0.000000000
1782819283.357212,0.177270666,-0.000527382,0.000000000,,,
1782819283.366900,,,,4642.000000000,377.000000000,0.000000000
1782819283.366945,0.177294627,-0.000503540,0.000000000,,,
1782819283.377059,,,,4629.000000000,395.000000000,0.000000000
1782819283.377127,0.177270666,-0.000503540,0.000000000,,,
1782819283.386960,,,,4556.000000000,318.000000000,0.000000000
1782819283.387050,0.177270666,-0.000527382,0.000000000,,,
1782819283.397002,,,,4598.000000000,337.000000000,0.000000000
1782819283.397060,0.177270666,-0.000503540,0.000000000,,,
1782819283.407062,,,,4668.000000000,407.000000000,0.000000000
1782819283.407168,0.177270666,-0.000527382,0.000000000,,,
1782819283.416943,,,,4658.000000000,395.000000000,0.000000000
1782819283.417020,0.177270666,-0.000527382,0.000000000,,,
1782819283.426977,,,,4649.000000000,389.000000000,0.000000000
1782819283.427043,0.177270666,-0.000527382,0.000000000,,,
1782819283.436999,,,,4659.000000000,418.000000000,0.000000000
1782819283.437048,0.177270666,-0.000503540,0.000000000,,,
1782819283.446972,,,,4649.000000000,389.000000000,0.000000000
1782819283.447020,0.177270666,-0.000503540,0.000000000,,,
1782819283.456983,,,,4637.000000000,399.000000000,0.000000000
1782819283.457053,0.177294627,-0.000503540,0.000000000,,,
1782819283.467053,,,,4612.000000000,389.000000000,0.000000000
1782819283.467145,0.177294627,-0.000527382,0.000000000,,,
1782819283.477175,,,,4669.000000000,407.000000000,0.000000000
1782819283.477267,0.177270666,-0.000503540,0.000000000,,,
1782819283.486823,,,,4626.000000000,387.000000000,0.000000000
1782819283.486866,0.177270666,-0.000503540,0.000000000,,,
1782819283.497052,,,,4627.000000000,383.000000000,0.000000000
1782819283.497123,0.177270666,-0.000503540,0.000000000,,,
1782819283.507002,,,,4653.000000000,418.000000000,0.000000000
1782819283.507066,0.177270666,-0.000503540,0.000000000,,,
1782819283.516838,,,,4633.000000000,373.000000000,0.000000000
1782819283.516883,0.177294627,-0.000527382,0.000000000,,,
1782819283.526928,,,,4639.000000000,368.000000000,0.000000000
1782819283.527017,0.177270666,-0.000527382,0.000000000,,,
1782819283.536784,,,,4647.000000000,392.000000000,0.000000000
1782819283.536830,0.177246690,-0.000503540,0.000000000,,,
1782819283.546956,,,,4666.000000000,432.000000000,0.000000000
1782819283.547049,0.177270666,-0.000503540,0.000000000,,,
1782819283.556932,,,,4657.000000000,406.000000000,0.000000000
1782819283.556978,0.177246690,-0.000503540,0.000000000,,,
1782819283.566899,,,,4618.000000000,369.000000000,0.000000000
1782819283.566961,0.177246690,-0.000503540,0.000000000,,,
1782819283.576836,,,,4608.000000000,364.000000000,0.000000000
1782819283.576881,0.177294627,-0.000503540,0.000000000,,,
1782819283.586850,,,,4573.000000000,338.000000000,0.000000000
1782819283.586906,0.177270666,-0.000527382,0.000000000,,,
1782819283.596972,,,,4692.000000000,419.000000000,0.000000000
1782819283.597027,0.177270666,-0.000503540,0.000000000,,,
1782819283.606921,,,,4651.000000000,428.000000000,0.000000000
1782819283.606983,0.177294627,-0.000503540,0.000000000,,,
1782819283.616961,,,,4603.000000000,371.000000000,0.000000000
1782819283.617036,0.177270666,-0.000503540,0.000000000,,,
1782819283.626934,,,,4625.000000000,364.000000000,0.000000000
1782819283.626988,0.177270666,-0.000503540,0.000000000,,,
1782819283.636883,,,,4658.000000000,407.000000000,0.000000000
1782819283.636938,0.177294627,-0.000503540,0.000000000,,,
1782819283.647004,,,,4659.000000000,412.000000000,0.000000000
1782819283.647063,0.177270666,-0.000527382,0.000000000,,,
1782819283.656934,,,,4642.000000000,397.000000000,0.000000000
1782819283.657009,0.177270666,-0.000503540,0.000000000,,,
1782819283.667163,,,,4647.000000000,393.000000000,0.000000000
1782819283.667207,0.177270666,-0.000503540,0.000000000,,,
1782819283.677023,,,,4619.000000000,356.000000000,0.000000000
1782819283.677077,0.177270666,-0.000503540,0.000000000,,,
1782819283.686930,,,,4668.000000000,395.000000000,0.000000000
1782819283.686979,0.177246690,-0.000527382,0.000000000,,,
1782819283.697023,,,,4655.000000000,412.000000000,0.000000000
1782819283.697082,0.177294627,-0.000527382,0.000000000,,,
1782819283.707099,,,,4650.000000000,387.000000000,0.000000000
1782819283.707183,0.177270666,-0.000527382,0.000000000,,,
1782819283.717045,,,,4595.000000000,353.000000000,0.000000000
1782819283.717120,0.177270666,-0.000503540,0.000000000,,,
1782819283.726916,,,,4618.000000000,392.000000000,0.000000000
1782819283.726960,0.177270666,-0.000503540,0.000000000,,,
1782819283.737042,,,,4669.000000000,392.000000000,0.000000000
1782819283.737099,0.177246690,-0.000503540,0.000000000,,,
1782819283.746934,,,,4649.000000000,410.000000000,0.000000000
1782819283.746979,0.177246690,-0.000527382,0.000000000,,,
1782819283.756878,,,,4631.000000000,383.000000000,0.000000000
1782819283.756926,0.177294627,-0.000527382,0.000000000,,,
1782819283.767038,,,,4673.000000000,414.000000000,0.000000000
1782819283.767100,0.177270666,-0.000503540,0.000000000,,,
1782819283.777046,,,,4668.000000000,414.000000000,0.000000000
1782819283.777138,0.177246690,-0.000503540,0.000000000,,,
1782819283.787097,,,,4639.000000000,389.000000000,0.000000000
1782819283.787180,0.177270666,-0.000503540,0.000000000,,,
1782819283.796922,,,,4684.000000000,434.000000000,0.000000000
1782819283.796978,0.177246690,-0.000527382,0.000000000,,,
1782819283.806998,,,,4619.000000000,388.000000000,0.000000000
1782819283.807059,0.177246690,-0.000527382,0.000000000,,,
1782819283.816997,,,,4602.000000000,381.000000000,0.000000000
1782819283.817065,0.177270666,-0.000503540,0.000000000,,,
1782819283.827068,,,,4619.000000000,375.000000000,0.000000000
1782819283.827154,0.177270666,-0.000503540,0.000000000,,,
1782819283.836905,,,,4654.000000000,391.000000000,0.000000000
1782819283.836968,0.177270666,-0.000503540,0.000000000,,,
1782819283.846915,,,,4641.000000000,400.000000000,0.000000000
1782819283.846971,0.177270666,-0.000503540,0.000000000,,,
1782819283.856946,,,,4669.000000000,414.000000000,0.000000000
1782819283.857023,0.177270666,-0.000527382,0.000000000,,,
1782819283.867064,,,,4665.000000000,404.000000000,0.000000000
1782819283.867142,0.177270666,-0.000527382,0.000000000,,,
1782819283.877004,,,,4651.000000000,395.000000000,0.000000000
1782819283.877079,0.177270666,-0.000527382,0.000000000,,,
1782819283.886898,,,,4618.000000000,367.000000000,0.000000000
1782819283.886957,0.177270666,-0.000527382,0.000000000,,,
1782819283.897030,,,,4651.000000000,426.000000000,0.000000000
1782819283.897102,0.177270666,-0.000503540,0.000000000,,,
1782819283.906954,,,,4576.000000000,332.000000000,0.000000000
1782819283.907030,0.177270666,-0.000527382,0.000000000,,,
1782819283.916851,,,,4616.000000000,384.000000000,0.000000000
1782819283.916895,0.177246690,-0.000527382,0.000000000,,,
1782819283.926969,,,,4630.000000000,391.000000000,0.000000000
1782819283.927028,0.177246690,-0.000527382,0.000000000,,,
1782819283.936969,,,,4645.000000000,392.000000000,0.000000000
1782819283.937032,0.177294627,-0.000527382,0.000000000,,,
1782819283.946889,,,,4643.000000000,408.000000000,0.000000000
1782819283.946950,0.177270666,-0.000503540,0.000000000,,,
1782819283.956867,,,,4620.000000000,387.000000000,0.000000000
1782819283.956943,0.177246690,-0.000503540,0.000000000,,,
1782819283.966916,,,,4634.000000000,392.000000000,0.000000000
1782819283.966975,0.177270666,-0.000527382,0.000000000,,,
1782819283.977235,,,,4637.000000000,406.000000000,0.000000000
1782819283.977348,0.177246690,-0.000503540,0.000000000,,,
1782819283.986855,,,,4608.000000000,360.000000000,0.000000000
1782819283.986899,0.177246690,-0.000527382,0.000000000,,,
1782819283.996764,,,,4638.000000000,414.000000000,0.000000000
1782819283.996825,0.177294627,-0.000527382,0.000000000,,,
1782819284.006784,,,,4598.000000000,346.000000000,0.000000000
1782819284.006838,0.177270666,-0.000527382,0.000000000,,,
1782819284.016772,,,,4637.000000000,376.000000000,0.000000000
1782819284.016843,0.177246690,-0.000527382,0.000000000,,,
1782819284.026805,,,,4631.000000000,393.000000000,0.000000000
1782819284.026845,0.177270666,-0.000527382,0.000000000,,,
1782819284.036910,,,,4618.000000000,388.000000000,0.000000000
1782819284.036966,0.177246690,-0.000527382,0.000000000,,,
1782819284.046834,,,,4627.000000000,383.000000000,0.000000000
1782819284.046904,0.177270666,-0.000527382,0.000000000,,,
1782819284.056848,,,,4625.000000000,375.000000000,0.000000000
1782819284.056930,0.177294627,-0.000527382,0.000000000,,,
1782819284.066744,,,,4629.000000000,392.000000000,0.000000000
