__time,/debug/pb,/debug/pr,/debug/theta_g,/debug/theta_t,a_g,w_g
1784041862.099662,6891.000000000,489.000000000,0.518869042,0.070706926,0.236458741,0.003570076
1784041862.109491,6891.000000000,490.000000000,0.518821061,0.070754863,-0.241096215,-0.002420732
1784041862.119339,6903.000000000,486.000000000,0.518821061,0.070754863,-0.305344836,-0.002438389
1784041862.129307,6878.000000000,462.000000000,0.518821061,0.070682958,0.122159504,0.000000000
1784041862.139902,6918.000000000,481.000000000,0.518797100,0.070682958,0.061914146,-0.001165285
1784041862.149762,6885.000000000,474.000000000,0.518869042,0.070682958,0.114670469,0.002345653
1784041862.159673,6868.000000000,432.000000000,0.518869042,0.070754863,0.242979386,0.003638743
1784041862.169471,6887.000000000,459.000000000,0.518845022,0.070754863,-0.180853968,-0.001218775
1784041862.179350,6867.000000000,465.000000000,0.518821061,0.070730895,-0.308839628,-0.002438419
1784041862.189325,6897.000000000,475.000000000,0.518821061,0.070682958,0.000597975,-0.001206903
1784041862.199400,6889.000000000,471.000000000,0.518797100,0.070706926,0.062012664,-0.001195091
1784041862.209393,6898.000000000,510.000000000,0.518893003,0.070778832,0.238767432,0.003584836
1784041862.219641,6846.000000000,457.000000000,0.518869042,0.070778832,0.234642212,0.003554307
1784041862.229722,6894.000000000,498.000000000,0.518845022,0.070754863,-0.292444165,-0.002360261
1784041862.239373,6893.000000000,496.000000000,0.518797100,0.070682958,-0.364911594,-0.003646041
1784041862.249251,6881.000000000,455.000000000,0.518821061,0.070706926,0.058032153,-0.001226986
1784041862.259298,6921.000000000,481.000000000,0.518797100,0.070706926,0.182987177,0.000000000
1784041862.269329,6846.000000000,434.000000000,0.518869042,0.070754863,0.180128868,0.002389717
1784041862.279233,6855.000000000,445.000000000,0.518845022,0.070754863,0.120580529,0.002403846
1784041862.289319,6836.000000000,435.000000000,0.518821061,0.070754863,-0.239629173,-0.002400348
1784041862.299286,6897.000000000,485.000000000,0.518821061,0.070682958,-0.179464998,-0.001194906
1784041862.309253,6885.000000000,450.000000000,0.518797100,0.070682958,0.060114791,-0.001202024
1784041862.319196,6903.000000000,457.000000000,0.518869042,0.070778832,0.181062423,0.002409978
1784041862.329241,6872.000000000,436.000000000,0.518869042,0.070754863,0.240194006,0.003599160
1784041862.339396,6906.000000000,462.000000000,0.518845022,0.070754863,-0.178176879,-0.001189155
1784041862.349375,6920.000000000,478.000000000,0.518821061,0.070682958,-0.297128786,-0.002383152
1784041862.359214,6874.000000000,439.000000000,0.518797100,0.070706926,-0.062004850,-0.002418016
1784041862.369259,6932.000000000,477.000000000,0.518893003,0.070706926,0.301811709,0.003618106
1784041862.379267,6866.000000000,431.000000000,0.518893003,0.070778832,0.359077938,0.004782541
1784041862.389358,6897.000000000,466.000000000,0.518869042,0.070778832,-0.239325789,-0.001192143
1784041862.399240,6889.000000000,454.000000000,0.518821061,0.070778832,-0.419807085,-0.003602082
1784041862.409246,6875.000000000,432.000000000,0.518821061,0.070778832,-0.061369286,-0.002412636
1784041862.419317,6933.000000000,485.000000000,0.518797100,0.070706926,0.119968595,-0.001193445
1784041862.429379,6883.000000000,443.000000000,0.518869042,0.070706926,0.238217726,0.002383293
1784041862.439348,6913.000000000,478.000000000,0.518869042,0.070754863,0.238876189,0.003591535
1784041862.449260,6910.000000000,446.000000000,0.518845022,0.070778832,-0.180650509,-0.001208222
1784041862.459283,6902.000000000,446.000000000,0.518797100,0.070754863,-0.361197010,-0.003608889
1784041862.469280,6924.000000000,431.000000000,0.518797100,0.070682958,-0.059211009,-0.002393655
1784041862.479334,6964.000000000,482.000000000,0.518869042,0.070682958,0.358935036,0.003588033
1784041862.489325,6891.000000000,427.000000000,0.518869042,0.070682958,0.298463451,0.003589057
1784041862.499294,6901.000000000,388.000000000,0.518845022,0.070778832,-0.240051306,-0.001203431
1784041862.509262,6922.000000000,422.000000000,0.518797100,0.070778832,-0.361020861,-0.003608543
1784041862.519377,6909.000000000,414.000000000,0.518773139,0.070682958,-0.118300024,-0.003579272
1784041862.529406,6968.000000000,436.000000000,0.518773139,0.070682958,0.120087400,-0.001189476
1784041862.539604,6917.000000000,388.000000000,0.518845022,0.070706926,0.352647157,0.003553790
1784041862.549647,6998.000000000,450.000000000,0.518845022,0.070778832,0.234224126,0.003551404
1784041862.559586,6993.000000000,422.000000000,0.518821061,0.070778832,-0.237872942,-0.001199184
1784041862.569525,7002.000000000,432.000000000,0.518773139,0.070778832,-0.360583136,-0.003616235
1784041862.579376,6972.000000000,399.000000000,0.518797100,0.070682958,-0.000582503,-0.001210712
1784041862.589517,6924.000000000,367.000000000,0.518821061,0.070706926,0.300782975,0.002397052
1784041862.599477,6930.000000000,361.000000000,0.518821061,0.070682958,0.119539377,0.001192072
1784041862.609644,6983.000000000,380.000000000,0.518749177,0.070754863,-0.296542239,-0.003571471
1784041862.619399,6996.000000000,392.000000000,0.518749177,0.070778832,-0.240944441,-0.003608143
1784041862.629320,7012.000000000,412.000000000,0.518773139,0.070682958,0.243409952,0.001217798
