__time,/debug/f,/debug/fc,/debug/lw,/debug/median_pb,/debug/median_pr,/debug/offset_pb,/debug/offset_pr,/debug/pb,/debug/pr,/debug/raw_pb,/debug/raw_pr,/debug/theta_g,/debug/theta_i,/debug/theta_t,/debug/w
1782988528.397349,0.331463715,212906.888027589,3.433204250,4629.000000000,384.000000000,0.000000000,0.000000000,5650807.214575640,468764.305551317,0.000000000,0.000000000,0.177222729,-175.397765507,-0.000527382,2095.352318361
1782988528.407454,0.331463715,212906.888027589,3.433204250,4629.000000000,384.000000000,0.000000000,0.000000000,5650807.214575640,468764.305551317,0.000000000,0.000000000,0.177222729,-175.397765507,-0.000527382,2095.352318361
1782988528.417389,0.331463715,212897.122104556,3.433204250,4629.500000000,385.000000000,0.000000000,0.000000000,5651417.584765160,469985.045930357,0.000000000,0.000000000,0.177222729,-175.397765507,-0.000503540,2095.256205691
1782988528.427360,0.331463715,212845.851008637,3.433204250,4629.500000000,386.500000000,0.000000000,0.000000000,5651417.584765160,471816.156498917,0.000000000,0.000000000,0.177222729,-175.397765507,-0.000503540,2094.751614174
1782988528.437371,0.331463715,212845.851008637,3.433204250,4629.500000000,386.500000000,0.000000000,0.000000000,5651417.584765160,471816.156498917,0.000000000,0.000000000,0.177222729,-175.397765507,-0.000503540,2094.751614174
1782988528.447530,0.331463715,212794.579912717,3.433204250,4629.500000000,388.000000000,0.000000000,0.000000000,5651417.584765160,473647.267067476,0.000000000,0.000000000,0.177222729,-175.397765507,-0.000551224,2094.247022657
1782988528.457412,0.331450824,212845.851008637,3.433250047,4629.500000000,386.500000000,0.000000000,0.000000000,5651417.584765160,471816.156498917,0.000000000,0.000000000,0.177246690,-175.397788368,-0.000503540,2094.642205504
1782988528.467424,0.331476614,212811.670278024,3.433158423,4629.500000000,387.500000000,0.000000000,0.000000000,5651417.584765160,473036.896877956,0.000000000,0.000000000,0.177198753,-175.397742631,-0.000527382,2094.524682759
1782988528.477486,0.331463715,212811.670278024,3.433204250,4629.500000000,387.500000000,0.000000000,0.000000000,5651417.584765160,473036.896877956,0.000000000,0.000000000,0.177222729,-175.397765507,-0.000503540,2094.415219829
1782988528.487526,0.331463715,212794.579912717,3.433204250,4629.500000000,388.000000000,0.000000000,0.000000000,5651417.584765160,473647.267067476,0.000000000,0.000000000,0.177222729,-175.397765507,-0.000503540,2094.247022657
1782988528.497374,0.331463715,212818.994720298,3.433204250,4630.000000000,388.000000000,0.000000000,0.000000000,5652027.954954680,473647.267067476,0.000000000,0.000000000,0.177222729,-175.397765507,-0.000503540,2094.487304332
1782988528.507399,0.331476614,212794.579912717,3.433158423,4629.500000000,388.000000000,0.000000000,0.000000000,5651417.584765160,473647.267067476,0.000000000,0.000000000,0.177198753,-175.397742631,-0.000503540,2094.356476796
1782988528.517416,0.331450824,212794.579912717,3.433250047,4629.500000000,388.000000000,0.000000000,0.000000000,5651417.584765160,473647.267067476,0.000000000,0.000000000,0.177246690,-175.397788368,-0.000527382,2094.137640341
1782988528.527471,0.331463715,212818.994720298,3.433204250,4630.000000000,388.000000000,0.000000000,0.000000000,5652027.954954680,473647.267067476,0.000000000,0.000000000,0.177222729,-175.397765507,-0.000527382,2094.487304332
1782988528.537404,0.331476614,212826.319162572,3.433158423,4630.500000000,388.500000000,0.000000000,0.000000000,5652638.325144200,474257.637256996,0.000000000,0.000000000,0.177198753,-175.397742631,-0.000503540,2094.668859299
1782988528.547386,0.331463715,212833.643604846,3.433204250,4631.000000000,389.000000000,0.000000000,0.000000000,5653248.695333720,474868.007446516,0.000000000,0.000000000,0.177222729,-175.397765507,-0.000503540,2094.631473336
1782988528.557349,0.331463715,212833.643604846,3.433204250,4631.000000000,389.000000000,0.000000000,0.000000000,5653248.695333720,474868.007446516,0.000000000,0.000000000,0.177222729,-175.397765507,-0.000527382,2094.631473336
