__time,/debug/pb,/debug/pr,/debug/theta_g,/debug/theta_t,a_g,w_g
1784041622.422830,7763.000000000,360.000000000,0.475893587,0.037966024,-0.238870538,-0.004785550
1784041622.433007,7745.000000000,368.000000000,0.475941509,0.038013961,0.353755049,0.002364873
1784041622.442687,7754.000000000,371.000000000,0.475965500,0.037918087,0.423376773,0.003621514
1784041622.452803,7773.000000000,381.000000000,0.475989461,0.037918087,0.002901835,0.002422317
1784041622.462800,7752.000000000,381.000000000,0.475893587,0.037894119,-0.357826635,-0.003575450
1784041622.472899,7773.000000000,404.000000000,0.475893587,0.037966024,-0.357936060,-0.004770789
1784041622.483130,7754.000000000,383.000000000,0.475893587,0.037989993,0.175873132,0.000000000
1784041622.492854,7729.000000000,367.000000000,0.475941509,0.037989993,0.359431299,0.002401548
1784041622.502868,7760.000000000,377.000000000,0.475965500,0.037894119,0.184587781,0.003643386
1784041622.512855,7694.000000000,306.000000000,0.475869626,0.037870150,-0.299763022,-0.003593992
1784041622.523091,7721.000000000,348.000000000,0.475869626,0.037870150,-0.414584279,-0.004740810
1784041622.532830,7810.000000000,436.000000000,0.475869626,0.037966024,0.179922842,0.000000000
1784041622.543127,7779.000000000,406.000000000,0.475893587,0.037989993,0.296298283,0.001195888
1784041622.552874,7792.000000000,416.000000000,0.475941509,0.037918087,0.178909801,0.003586169
1784041622.562776,7748.000000000,391.000000000,0.475965500,0.037894119,0.125396217,0.003659831
1784041622.573187,7753.000000000,380.000000000,0.475869626,0.037894119,-0.350769695,-0.003538857
1784041622.582762,7784.000000000,393.000000000,0.475869626,0.037942056,-0.423159509,-0.004797197
1784041622.592786,7812.000000000,435.000000000,0.475869626,0.037942056,0.180565698,0.000000000
1784041622.602871,7769.000000000,393.000000000,0.475893587,0.037966024,0.297815802,0.001191563
1784041622.613069,7797.000000000,402.000000000,0.475941509,0.037942056,0.174720275,0.003543932
1784041622.622769,7674.000000000,324.000000000,0.475869626,0.037918087,-0.120396001,-0.001204155
1784041622.632886,7721.000000000,360.000000000,0.475869626,0.037918087,-0.361872135,-0.003627329
1784041622.642854,7753.000000000,372.000000000,0.475869626,0.037942056,0.059953386,0.000000000
1784041622.653079,7707.000000000,330.000000000,0.475869626,0.037942056,0.179632127,0.000000000
1784041622.662880,7733.000000000,354.000000000,0.475893587,0.037918087,0.059750257,0.001196528
1784041622.672863,7756.000000000,385.000000000,0.475941509,0.037918087,0.183649560,0.003633362
1784041622.682902,7742.000000000,377.000000000,0.475869626,0.037894119,-0.119528264,-0.001196714
1784041622.692740,7729.000000000,341.000000000,0.475869626,0.037894119,-0.364732421,-0.003616409
1784041622.702798,7750.000000000,381.000000000,0.475869626,0.037942056,0.060149076,0.000000000
1784041622.712857,7749.000000000,379.000000000,0.475869626,0.037918087,0.179768394,0.000000000
1784041622.723099,7768.000000000,408.000000000,0.475893587,0.037918087,0.058136176,0.001180256
1784041622.732808,7717.000000000,353.000000000,0.475893587,0.037894119,0.060200955,0.001201033
1784041622.742922,7742.000000000,384.000000000,0.475869626,0.037894119,-0.120522796,-0.001208790
1784041622.753025,7771.000000000,356.000000000,0.475869626,0.037918087,-0.118033285,-0.001185211
1784041622.763216,7779.000000000,383.000000000,0.475845635,0.037966024,0.001313796,-0.001182127
1784041622.772871,7780.000000000,395.000000000,0.475869626,0.037966024,0.059720530,0.000000000
1784041622.782767,7750.000000000,358.000000000,0.475893587,0.037942056,0.185927613,0.002452774
1784041622.792799,7773.000000000,372.000000000,0.475893587,0.037894119,0.060333550,0.001202354
1784041622.802793,7728.000000000,365.000000000,0.475869626,0.037894119,-0.182218430,-0.001196457
1784041622.812850,7767.000000000,372.000000000,0.475845635,0.037942056,-0.179239110,-0.002391527
1784041622.822870,7722.000000000,334.000000000,0.475845635,0.037966024,0.000076092,-0.001194929
1784041622.833090,7682.000000000,310.000000000,0.475869626,0.037942056,0.176715316,0.001185288
1784041622.842836,7742.000000000,391.000000000,0.475917548,0.037918087,0.240250944,0.003601837
1784041622.852997,7722.000000000,345.000000000,0.475893587,0.037894119,0.000923163,0.001203665
1784041622.863026,7792.000000000,385.000000000,0.475869626,0.037894119,-0.295958113,-0.002373558
1784041622.872994,7788.000000000,403.000000000,0.475845635,0.037989993,-0.180113443,-0.002397999
1784041622.882768,7772.000000000,402.000000000,0.475845635,0.037966024,0.058673831,-0.001215204
1784041622.892939,7764.000000000,383.000000000,0.475869626,0.037942056,0.180531510,0.001202814
1784041622.903131,7768.000000000,412.000000000,0.475917548,0.037894119,0.233109869,0.003531578
1784041622.912764,7741.000000000,363.000000000,0.475893587,0.037894119,0.000294111,0.001208645
1784041622.922909,7749.000000000,388.000000000,0.475845635,0.037918087,-0.362401685,-0.003636007
1784041622.932821,7769.000000000,377.000000000,0.475845635,0.037989993,-0.179464022,-0.002390816
1784041622.943115,7682.000000000,314.000000000,0.475845635,0.037989993,0.179945024,0.000000000
1784041622.952793,7690.000000000,341.000000000,0.475941509,0.037894119,0.360063513,0.004800403
1784041622.962912,7730.000000000,340.000000000,0.475917548,0.037870150,0.183504493,0.003632679
1784041622.972862,7715.000000000,345.000000000,0.475893587,0.037894119,-0.358186319,-0.002387911
1784041622.983075,7722.000000000,375.000000000,0.475869626,0.037989993,-0.298035604,-0.002376701
1784041622.992802,7757.000000000,372.000000000,0.475845635,0.037989993,-0.000842373,-0.002404708
1784041623.002804,7726.000000000,361.000000000,0.475845635,0.037966024,0.058831250,-0.001215997
1784041623.012848,7785.000000000,406.000000000,0.475941509,0.037894119,0.358553160,0.004782761
1784041623.023144,7736.000000000,353.000000000,0.475917548,0.037894119,0.233616102,0.003535635
1784041623.032988,7795.000000000,402.000000000,0.475869626,0.038013961,-0.414702984,-0.003569230
1784041623.042792,7742.000000000,342.000000000,0.475869626,0.038013961,-0.304083688,-0.002439024
1784041623.052918,7787.000000000,397.000000000,0.475845635,0.037989993,0.118688719,-0.001203749
1784041623.062932,7737.000000000,357.000000000,0.475965500,0.037894119,0.357448886,0.004760228
1784041623.072459,7761.000000000,357.000000000,0.475941509,0.037894119,0.312664108,0.004906177
1784041623.082492,7729.000000000,336.000000000,0.475893587,0.037894119,-0.431346808,-0.003676650
1784041623.092495,7775.000000000,380.000000000,0.475869626,0.037989993,-0.423931432,-0.003587705
1784041623.102647,7803.000000000,420.000000000,0.475845635,0.038013961,0.064375538,-0.002379164
1784041623.112639,7765.000000000,376.000000000,0.475965500,0.038013961,0.414397126,0.004759608
1784041623.122988,7744.000000000,377.000000000,0.475965500,0.037894119,0.406657940,0.005892729
1784041623.132695,7775.000000000,387.000000000,0.475941509,0.037894119,-0.296945740,-0.001196151
1784041623.142821,7730.000000000,350.000000000,0.475869626,0.037870150,-0.540843113,-0.004833988
1784041623.152970,7695.000000000,336.000000000,0.475869626,0.037989993,-0.115878373,-0.003545515
1784041623.163004,7752.000000000,360.000000000,0.475869626,0.037989993,0.239512560,0.000000000
1784041623.172781,7720.000000000,337.000000000,0.475965500,0.037989993,0.423258170,0.004839515
1784041623.182811,7761.000000000,373.000000000,0.475965500,0.037870150,0.244364693,0.004840273
1784041623.192822,7814.000000000,440.000000000,0.475941509,0.037894119,-0.301204360,-0.001197062
1784041623.203059,7717.000000000,356.000000000,0.475869626,0.037894119,-0.472918030,-0.004735116
1784041623.212771,7726.000000000,336.000000000,0.475869626,0.038013961,-0.120626150,-0.003603399
1784041623.222873,7808.000000000,404.000000000,0.475965500,0.037989993,0.483184067,0.004838700
1784041623.232858,7806.000000000,407.000000000,0.475965500,0.037989993,0.416987391,0.004772827
1784041623.243078,7725.000000000,349.000000000,0.475965500,0.037894119,-0.239477252,0.000000000
1784041623.252838,7740.000000000,381.000000000,0.475869626,0.037894119,-0.479038585,-0.004798456
1784041623.262790,7742.000000000,377.000000000,0.475893587,0.037894119,-0.185074811,-0.003648189
1784041623.273015,7718.000000000,372.000000000,0.475869626,0.037989993,0.237816621,0.000000000
1784041623.282757,7728.000000000,373.000000000,0.475965500,0.038013961,0.363092540,0.003601622
1784041623.292879,7756.000000000,375.000000000,0.475989461,0.038013961,0.303708952,0.006032827
1784041623.302858,7732.000000000,360.000000000,0.475965500,0.037894119,-0.179177735,0.000000000
1784041623.313081,7753.000000000,387.000000000,0.475869626,0.037894119,-0.592265780,-0.005931938
1784041623.322760,7734.000000000,344.000000000,0.475869626,0.037894119,-0.242045893,-0.004817253
1784041623.332871,7769.000000000,375.000000000,0.475917548,0.037989993,0.422094360,0.002421483
1784041623.342887,7753.000000000,384.000000000,0.475965500,0.037989993,0.476010688,0.004763442
1784041623.352819,7773.000000000,364.000000000,0.475965500,0.037894119,-0.000884117,0.002403846
1784041623.362823,7725.000000000,322.000000000,0.475869626,0.037870150,-0.480160182,-0.004809072
1784041623.372766,7699.000000000,313.000000000,0.475869626,0.037870150,-0.361470670,-0.004806428
1784041623.383120,7767.000000000,383.000000000,0.475869626,0.037966024,0.236942884,0.000000000
1784041623.392830,7753.000000000,369.000000000,0.475917548,0.037989993,0.358617030,0.002388563
1784041623.402889,7792.000000000,403.000000000,0.475965500,0.037989993,0.245296819,0.004849495
1784041623.412828,7726.000000000,364.000000000,0.475965500,0.037894119,0.000461829,0.002397799
1784041623.422670,7768.000000000,399.000000000,0.475845635,0.037918087,-0.551509395,-0.006059711
1784041623.432697,7754.000000000,406.000000000,0.475845635,0.037894119,-0.424295254,-0.006032662
1784041623.442750,7756.000000000,404.000000000,0.475869626,0.037966024,0.361276790,0.001194759
1784041623.452924,7717.000000000,336.000000000,0.475893587,0.037989993,0.415472212,0.002370779
1784041623.462751,7769.000000000,363.000000000,0.475917548,0.037918087,0.060056833,0.002395966
1784041623.472805,7734.000000000,344.000000000,0.475965500,0.037894119,0.062692588,0.003617171
1784041623.482701,7795.000000000,435.000000000,0.475845635,0.037918087,-0.300785460,-0.003604678
1784041623.492730,7736.000000000,361.000000000,0.475869626,0.037942056,-0.423028360,-0.004811719
1784041623.502752,7756.000000000,414.000000000,0.475869626,0.037966024,0.239451427,0.001196506
1784041623.512764,7738.000000000,371.000000000,0.475893587,0.037989993,0.299875835,0.001196016
1784041623.522780,7775.000000000,369.000000000,0.475917548,0.037894119,0.059727875,0.002392743
1784041623.532890,7754.000000000,372.000000000,0.475845635,0.037894119,-0.177801355,-0.002382518
1784041623.542668,7803.000000000,403.000000000,0.475845635,0.037894119,-0.302137464,-0.003616000
1784041623.552861,7776.000000000,392.000000000,0.475845635,0.037942056,0.119300929,0.000000000
1784041623.562732,7792.000000000,424.000000000,0.475869626,0.037966024,0.239816702,0.001195710
1784041623.572951,7750.000000000,360.000000000,0.475893587,0.037918087,0.118804123,0.002386815
1784041623.582649,7744.000000000,364.000000000,0.475917548,0.037918087,0.060771183,0.002406091
1784041623.592740,7728.000000000,337.000000000,0.475869626,0.037894119,-0.181800381,-0.001210829
1784041623.602737,7768.000000000,361.000000000,0.475845635,0.037918087,-0.297978022,-0.003579821
1784041623.612733,7738.000000000,371.000000000,0.475845635,0.037942056,0.000541527,-0.001200002
1784041623.622732,7742.000000000,373.000000000,0.475869626,0.037966024,0.239050514,0.001199874
1784041623.632990,7769.000000000,377.000000000,0.475893587,0.037918087,0.176096268,0.002367179
1784041623.642687,7775.000000000,400.000000000,0.475869626,0.037918087,-0.060129212,0.000000000
1784041623.652905,7776.000000000,376.000000000,0.475845635,0.037894119,-0.239771914,-0.002407846
1784041623.662786,7767.000000000,373.000000000,0.475845635,0.037918087,-0.059385407,-0.001193611
