__time,lift_angle(deg),lpf_b,lpf_r,median_b,median_r,raw_b,raw_r,time
37.129863,51.751100000,5518.295583000,435.707810000,5512.000000000,424.000000000,5539.000000000,469.000000000,37.129863000
37.139840,51.751100000,5519.766025000,437.537029000,5513.500000000,427.000000000,5533.000000000,454.000000000,37.139840000
37.139872,51.752473000,5521.089422000,439.183326000,5515.000000000,430.000000000,5533.000000000,454.000000000,37.139872000
37.149873,51.752473000,5516.580480000,433.764994000,5515.000000000,427.000000000,5476.000000000,385.000000000,37.149873000
37.149912,51.752473000,5512.522432000,428.888494000,5515.000000000,424.000000000,5476.000000000,385.000000000,37.149912000
37.159818,51.752473000,5510.070189000,426.299645000,5515.000000000,424.000000000,5488.000000000,403.000000000,37.159818000
37.159851,51.751100000,5507.863170000,423.969680000,5515.000000000,424.000000000,5488.000000000,403.000000000,37.159851000
37.169704,51.751100000,5507.476853000,422.772712000,5511.500000000,422.000000000,5504.000000000,412.000000000,37.169704000
37.169746,51.751100000,5507.129168000,421.695441000,5508.000000000,420.000000000,5504.000000000,412.000000000,37.169746000
37.179821,51.751100000,5510.916251000,426.525897000,5511.500000000,422.000000000,5545.000000000,470.000000000,37.179821000
37.179855,51.751100000,5514.324626000,430.873307000,5515.000000000,424.000000000,5545.000000000,470.000000000,37.179855000
37.189800,51.751100000,5515.192163000,433.285977000,5515.000000000,424.000000000,5523.000000000,455.000000000,37.189800000
37.189826,51.751100000,5515.972947000,435.457379000,5515.000000000,424.000000000,5523.000000000,455.000000000,37.189826000
37.199809,51.751100000,5512.475652000,432.111641000,5515.000000000,422.000000000,5481.000000000,402.000000000,37.199809000
37.199843,51.751100000,5509.328087000,429.100477000,5515.000000000,420.000000000,5481.000000000,402.000000000,37.199843000
37.209787,51.751100000,5508.095278000,426.790429000,5515.000000000,420.000000000,5497.000000000,406.000000000,37.209787000
37.209808,51.751100000,5506.985750000,424.711386000,5515.000000000,420.000000000,5497.000000000,406.000000000,37.209808000
37.219858,51.751100000,5511.287175000,426.140248000,5515.000000000,422.000000000,5550.000000000,439.000000000,37.219858000
37.219885,51.751100000,5515.158458000,427.426223000,5515.000000000,424.000000000,5550.000000000,439.000000000,37.219885000
37.229919,51.751100000,5514.842612000,428.183601000,5513.500000000,427.000000000,5512.000000000,435.000000000,37.229919000
37.229954,51.751100000,5514.558351000,428.865241000,5512.000000000,430.000000000,5512.000000000,435.000000000,37.229954000
37.239891,51.751100000,5516.202516000,429.378716000,5512.000000000,430.000000000,5531.000000000,434.000000000,37.239891000
37.239959,51.751100000,5517.682264000,429.840845000,5512.000000000,430.000000000,5531.000000000,434.000000000,37.239959000
37.249867,51.751100000,5518.214038000,427.956760000,5513.500000000,430.000000000,5523.000000000,411.000000000,37.249867000
37.249906,51.751100000,5518.692634000,426.261084000,5515.000000000,430.000000000,5523.000000000,411.000000000,37.249906000
37.259735,51.751100000,5519.523371000,427.034976000,5515.000000000,432.000000000,5527.000000000,434.000000000,37.259735000
37.259753,51.751100000,5520.271034000,427.731478000,5515.000000000,434.000000000,5527.000000000,434.000000000,37.259753000
37.269646,51.751100000,5518.443930000,426.458330000,5515.000000000,432.000000000,5502.000000000,415.000000000,37.269646000
37.269669,51.751100000,5516.799537000,425.312497000,5515.000000000,430.000000000,5502.000000000,415.000000000,37.269669000
37.279789,51.751100000,5518.019583000,426.681248000,5515.000000000,432.000000000,5529.000000000,439.000000000,37.279789000
37.279850,51.751100000,5519.117625000,427.913123000,5515.000000000,434.000000000,5529.000000000,439.000000000,37.279850000
37.289845,51.751100000,5514.505863000,425.121811000,5515.000000000,434.000000000,5473.000000000,400.000000000,37.289845000
37.289885,51.751100000,5510.355276000,422.609630000,5515.000000000,434.000000000,5473.000000000,400.000000000,37.289885000
37.299785,51.751100000,5508.719749000,420.048667000,5515.000000000,432.000000000,5494.000000000,397.000000000,37.299785000
37.299813,51.751100000,5507.247774000,417.743800000,5515.000000000,430.000000000,5494.000000000,397.000000000,37.299813000
37.309874,51.751100000,5509.822996000,418.369420000,5515.000000000,427.000000000,5533.000000000,424.000000000,37.309874000
37.309906,51.751100000,5512.140697000,418.932478000,5515.000000000,424.000000000,5533.000000000,424.000000000,37.309906000
37.319851,51.751100000,5514.826627000,420.639230000,5519.000000000,424.000000000,5539.000000000,436.000000000,37.319851000
37.319895,51.751100000,5517.243964000,422.175307000,5523.000000000,424.000000000,5539.000000000,436.000000000,37.319895000
37.329733,51.751100000,5521.519568000,426.857776000,5523.000000000,424.000000000,5560.000000000,469.000000000,37.329733000
37.329747,51.751100000,5525.367611000,431.071999000,5523.000000000,424.000000000,5560.000000000,469.000000000,37.329747000
37.339833,51.751100000,5522.430850000,431.364799000,5523.000000000,429.000000000,5496.000000000,434.000000000,37.339833000
37.339862,51.751100000,5519.787765000,431.628319000,5523.000000000,434.000000000,5496.000000000,434.000000000,37.339862000
37.349846,51.751100000,5516.808989000,428.065487000,5517.500000000,434.000000000,5490.000000000,396.000000000,37.349846000
37.349875,51.751100000,5514.128090000,424.858938000,5512.000000000,434.000000000,5490.000000000,396.000000000,37.349875000
37.359793,51.751100000,5516.415281000,424.173045000,5517.500000000,434.000000000,5537.000000000,418.000000000,37.359793000
37.359818,51.751100000,5518.473753000,423.555740000,5523.000000000,434.000000000,5537.000000000,418.000000000,37.359818000
37.369688,51.751100000,5520.526377000,425.400166000,5523.000000000,434.000000000,5539.000000000,442.000000000,37.369688000
37.369727,51.751100000,5522.373740000,427.060149000,5523.000000000,434.000000000,5539.000000000,442.000000000,37.369727000
37.379975,51.751100000,5521.736366000,428.854135000,5523.000000000,434.000000000,5516.000000000,445.000000000,37.379975000
37.380047,51.751100000,5521.162729000,430.468721000,5523.000000000,434.000000000,5516.000000000,445.000000000,37.380047000
37.389869,51.751100000,5520.646456000,428.221849000,5519.500000000,429.000000000,5516.000000000,408.000000000,37.389869000
37.389895,51.751100000,5520.181811000,426.199664000,5516.000000000,424.000000000,5516.000000000,408.000000000,37.389895000
37.399886,51.751100000,5519.063630000,427.179698000,5516.000000000,429.000000000,5509.000000000,436.000000000,37.399886000
37.399917,51.751100000,5518.057267000,428.061728000,5516.000000000,434.000000000,5509.000000000,436.000000000,37.399917000
37.409696,51.751100000,5519.051540000,428.855555000,5519.500000000,434.000000000,5528.000000000,436.000000000,37.409696000
37.409712,51.751100000,5519.946386000,429.570000000,5523.000000000,434.000000000,5528.000000000,436.000000000,37.409712000
37.419765,51.751100000,5522.451747000,428.413000000,5523.000000000,434.000000000,5545.000000000,418.000000000,37.419765000
37.419790,51.751100000,5524.706573000,427.371700000,5523.000000000,434.000000000,5545.000000000,418.000000000,37.419790000
37.429920,51.751100000,5519.135915000,424.234530000,5523.000000000,434.000000000,5469.000000000,396.000000000,37.429920000
37.429973,51.751100000,5514.122324000,421.411077000,5523.000000000,434.000000000,5469.000000000,396.000000000,37.429973000
37.439761,51.751100000,5510.010091000,419.669969000,5519.500000000,429.000000000,5473.000000000,404.000000000,37.439761000
37.439787,51.751100000,5506.309082000,418.102972000,5516.000000000,424.000000000,5473.000000000,404.000000000,37.439787000
37.449754,51.751100000,5509.278174000,419.692675000,5519.500000000,429.000000000,5536.000000000,434.000000000,37.449754000
37.449786,51.751100000,5511.950357000,421.123407000,5523.000000000,434.000000000,5536.000000000,434.000000000,37.449786000
37.459795,51.751100000,5512.355321000,421.311067000,5523.000000000,434.000000000,5516.000000000,423.000000000,37.459795000
37.459841,51.751100000,5512.719789000,421.479960000,5523.000000000,434.000000000,5516.000000000,423.000000000,37.459841000
37.469601,51.751100000,5509.547810000,418.231964000,5519.500000000,429.000000000,5481.000000000,389.000000000,37.469601000
37.469617,51.751100000,5506.693029000,415.308768000,5516.000000000,424.000000000,5481.000000000,389.000000000,37.469617000
37.479731,51.751100000,5503.623726000,414.177891000,5516.000000000,423.500000000,5476.000000000,404.000000000,37.479731000
37.479776,51.751100000,5500.861353000,413.160102000,5516.000000000,423.000000000,5476.000000000,404.000000000,37.479776000
37.489761,51.751100000,5503.275218000,412.944092000,5516.000000000,420.500000000,5525.000000000,411.000000000,37.489761000
37.489802,51.751100000,5505.447696000,412.749682000,5516.000000000,418.000000000,5525.000000000,411.000000000,37.489802000
37.499759,51.751100000,5506.202927000,412.974714000,5516.000000000,418.000000000,5513.000000000,415.000000000,37.499759000
37.499801,51.751100000,5506.882634000,413.177243000,5516.000000000,418.000000000,5513.000000000,415.000000000,37.499801000
37.509709,51.751100000,5507.094371000,414.259518000,5516.000000000,418.000000000,5509.000000000,424.000000000,37.509709000
37.509743,51.752473000,5507.284934000,415.233567000,5516.000000000,418.000000000,5509.000000000,424.000000000,37.509743000
37.519745,51.752473000,5507.656440000,415.710210000,5516.000000000,419.000000000,5511.000000000,420.000000000,37.519745000
37.519780,51.752473000,5507.990796000,416.139189000,5516.000000000,420.000000000,5511.000000000,420.000000000,37.519780000
37.529823,51.752473000,5510.291717000,418.525270000,5516.000000000,420.000000000,5531.000000000,440.000000000,37.529823000
37.529865,51.752473000,5512.362545000,420.672743000,5516.000000000,420.000000000,5531.000000000,440.000000000,37.529865000
37.539695,51.752473000,5511.226290000,421.205469000,5516.000000000,421.500000000,5501.000000000,426.000000000,37.539695000
37.539716,51.751100000,5510.203661000,421.684922000,5516.000000000,423.000000000,5501.000000000,426.000000000,37.539716000
37.549657,51.751100000,5508.183295000,423.016430000,5516.000000000,423.500000000,5490.000000000,435.000000000,37.549657000
37.549671,51.751100000,5506.364966000,424.214787000,5516.000000000,424.000000000,5490.000000000,435.000000000,37.549671000
37.559694,51.751100000,5505.328469000,425.293308000,5514.500000000,424.000000000,5496.000000000,435.000000000,37.559694000
37.559707,51.751100000,5504.395622000,426.263977000,5513.000000000,424.000000000,5496.000000000,435.000000000,37.559707000
37.569767,51.751100000,5502.856060000,425.437580000,5512.000000000,423.500000000,5489.000000000,418.000000000,37.569767000
37.569803,51.751100000,5501.470454000,424.693822000,5511.000000000,423.000000000,5489.000000000,418.000000000,37.569803000
37.579904,51.751100000,5503.223409000,425.724439000,5511.000000000,423.000000000,5519.000000000,435.000000000,37.579904000
37.579939,51.749727000,5504.801068000,426.651995000,5511.000000000,423.000000000,5519.000000000,435.000000000,37.579939000
37.589820,51.749727000,5507.120961000,427.386796000,5512.000000000,423.000000000,5528.000000000,434.000000000,37.589820000
37.589853,51.753846000,5509.208865000,428.048116000,5513.000000000,423.000000000,5528.000000000,434.000000000,37.589853000
37.599821,51.753846000,5506.387978000,425.143305000,5513.000000000,423.000000000,5481.000000000,399.000000000,37.599821000
37.599867,51.751100000,5503.849181000,422.528974000,5513.000000000,423.000000000,5481.000000000,399.000000000,37.599867000
37.609714,51.751100000,5504.964262000,422.976077000,5513.000000000,423.500000000,5515.000000000,427.000000000,37.609714000
37.609733,51.751100000,5505.967836000,423.378469000,5513.000000000,424.000000000,5515.000000000,427.000000000,37.609733000
37.619843,51.751100000,5499.871053000,418.540622000,5512.000000000,423.500000000,5445.000000000,375.000000000,37.619843000
37.619872,51.751100000,5494.383947000,414.186560000,5511.000000000,423.000000000,5445.000000000,375.000000000,37.619872000
37.629821,51.751100000,5491.845553000,414.167904000,5510.000000000,421.500000000,5469.000000000,414.000000000,37.629821000
37.629844,51.751100000,5489.560997000,414.151114000,5509.000000000,420.000000000,5469.000000000,414.000000000,37.629844000
37.639717,51.751100000,5490.804898000,413.536002000,5509.000000000,420.000000000,5502.000000000,408.000000000,37.639717000
37.639736,51.751100000,5491.924408000,412.982402000,5509.000000000,420.000000000,5502.000000000,408.000000000,37.639736000
37.649690,51.751100000,5494.231967000,414.684162000,5509.000000000,420.000000000,5515.000000000,430.000000000,37.649690000
37.649724,51.751100000,5496.308770000,416.215746000,5509.000000000,420.000000000,5515.000000000,430.000000000,37.649724000
37.659829,51.751100000,5495.577893000,414.894171000,5505.500000000,419.000000000,5489.000000000,403.000000000,37.659829000
37.659894,51.751100000,5494.920104000,413.704754000,5502.000000000,418.000000000,5489.000000000,403.000000000,37.659894000
37.669701,51.751100000,5497.728094000,414.934279000,5502.000000000,419.000000000,5523.000000000,426.000000000,37.669701000
37.669733,51.751100000,5500.255284000,416.040851000,5502.000000000,420.000000000,5523.000000000,426.000000000,37.669733000
37.679750,51.751100000,5502.529756000,418.336766000,5505.500000000,421.500000000,5523.000000000,439.000000000,37.679750000
37.679782,51.749727000,5504.576780000,420.403089000,5509.000000000,423.000000000,5523.000000000,439.000000000,37.679782000
37.689646,51.749727000,5508.119102000,422.962780000,5510.000000000,423.500000000,5540.000000000,446.000000000,37.689646000
