__time,/vehicle/loader_joint_angles/data[0],/vehicle/loader_joint_angles/data[1],/vehicle/loader_joint_angles/layout/data_offset,/vehicle/loader_joint_pressures/data[0],/vehicle/loader_joint_pressures/data[1],/vehicle/loader_joint_pressures/layout/data_offset,lift,tilt
1782647004.473430,0.716105402,0.115815550,0.000000000,,,,41.029851850,6.635747827
1782647004.483478,,,,5322.000000000,482.000000000,0.000000000,,
1782647004.483523,0.716105402,0.115815550,0.000000000,,,,41.029851850,6.635747827
1782647004.493460,,,,5309.000000000,469.000000000,0.000000000,,
1782647004.493475,0.716105402,0.115815550,0.000000000,,,,41.029851850,6.635747827
1782647004.503496,,,,5324.000000000,473.000000000,0.000000000,,
1782647004.503532,0.716081440,0.115791582,0.000000000,,,,41.028478981,6.634374531
1782647004.513411,,,,5269.000000000,458.000000000,0.000000000,,
1782647004.513440,0.716105402,0.115791582,0.000000000,,,,41.029851850,6.634374531
1782647004.523372,,,,5349.000000000,485.000000000,0.000000000,,
1782647004.523405,0.716081440,0.115815550,0.000000000,,,,41.028478981,6.635747827
1782647004.533357,,,,5380.000000000,486.000000000,0.000000000,,
1782647004.533388,0.716057479,0.115815550,0.000000000,,,,41.027106111,6.635747827
1782647004.543418,,,,5385.000000000,493.000000000,0.000000000,,
1782647004.543460,0.716057479,0.115815550,0.000000000,,,,41.027106111,6.635747827
1782647004.553451,,,,5353.000000000,431.000000000,0.000000000,,
1782647004.553495,0.716033518,0.115815550,0.000000000,,,,41.025733242,6.635747827
1782647004.563514,,,,5361.000000000,447.000000000,0.000000000,,
1782647004.563551,0.716057479,0.115791582,0.000000000,,,,41.027106111,6.634374531
1782647004.573409,,,,5365.000000000,442.000000000,0.000000000,,
1782647004.573442,0.716033518,0.115815550,0.000000000,,,,41.025733242,6.635747827
1782647004.583597,,,,5400.000000000,443.000000000,0.000000000,,
1782647004.583679,0.716033518,0.115815550,0.000000000,,,,41.025733242,6.635747827
1782647004.593491,,,,5435.000000000,485.000000000,0.000000000,,
1782647004.593533,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647004.603328,,,,5434.000000000,439.000000000,0.000000000,,
1782647004.603343,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647004.613384,,,,5390.000000000,422.000000000,0.000000000,,
1782647004.613415,0.716009498,0.115815550,0.000000000,,,,41.024356958,6.635747827
1782647004.623350,,,,5391.000000000,388.000000000,0.000000000,,
1782647004.623393,0.716033518,0.115815550,0.000000000,,,,41.025733242,6.635747827
1782647004.633353,,,,5360.000000000,393.000000000,0.000000000,,
1782647004.633367,0.716009498,0.115815550,0.000000000,,,,41.024356958,6.635747827
1782647004.643400,,,,5414.000000000,447.000000000,0.000000000,,
1782647004.643434,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647004.653484,,,,5391.000000000,412.000000000,0.000000000,,
1782647004.653526,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647004.663539,,,,5430.000000000,388.000000000,0.000000000,,
1782647004.663581,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647004.673400,,,,5396.000000000,376.000000000,0.000000000,,
1782647004.673433,0.716009498,0.115815550,0.000000000,,,,41.024356958,6.635747827
1782647004.683422,,,,5435.000000000,399.000000000,0.000000000,,
1782647004.683455,0.716009498,0.115791582,0.000000000,,,,41.024356958,6.634374531
1782647004.693453,,,,5426.000000000,399.000000000,0.000000000,,
1782647004.693496,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647004.703471,,,,5437.000000000,411.000000000,0.000000000,,
1782647004.703513,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647004.713352,,,,5406.000000000,391.000000000,0.000000000,,
1782647004.713378,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647004.723336,,,,5441.000000000,410.000000000,0.000000000,,
1782647004.723369,0.715961576,0.115815550,0.000000000,,,,41.021611220,6.635747827
1782647004.733598,,,,5480.000000000,440.000000000,0.000000000,,
1782647004.733638,0.715985537,0.115839519,0.000000000,,,,41.022984089,6.637121123
1782647004.743257,,,,5457.000000000,427.000000000,0.000000000,,
1782647004.743271,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647004.753533,,,,5431.000000000,391.000000000,0.000000000,,
1782647004.753562,0.715961576,0.115815550,0.000000000,,,,41.021611220,6.635747827
1782647004.763443,,,,5437.000000000,447.000000000,0.000000000,,
1782647004.763475,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647004.773470,,,,5478.000000000,457.000000000,0.000000000,,
1782647004.773511,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647004.783453,,,,5468.000000000,449.000000000,0.000000000,,
1782647004.783485,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647004.793478,,,,5458.000000000,436.000000000,0.000000000,,
1782647004.793500,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647004.803478,,,,5431.000000000,420.000000000,0.000000000,,
1782647004.803522,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647004.813595,,,,5458.000000000,440.000000000,0.000000000,,
1782647004.813633,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647004.823387,,,,5465.000000000,457.000000000,0.000000000,,
1782647004.823405,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647004.833574,,,,5466.000000000,439.000000000,0.000000000,,
1782647004.833615,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647004.843534,,,,5407.000000000,410.000000000,0.000000000,,
1782647004.843568,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647004.853455,,,,5438.000000000,414.000000000,0.000000000,,
1782647004.853475,0.716009498,0.115815550,0.000000000,,,,41.024356958,6.635747827
1782647004.863552,,,,5385.000000000,368.000000000,0.000000000,,
1782647004.863587,0.716009498,0.115815550,0.000000000,,,,41.024356958,6.635747827
1782647004.873533,,,,5371.000000000,399.000000000,0.000000000,,
1782647004.873576,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647004.883549,,,,5410.000000000,431.000000000,0.000000000,,
1782647004.883594,0.716009498,0.115815550,0.000000000,,,,41.024356958,6.635747827
1782647004.893374,,,,5404.000000000,412.000000000,0.000000000,,
1782647004.893390,0.716009498,0.115791582,0.000000000,,,,41.024356958,6.634374531
1782647004.903435,,,,5426.000000000,458.000000000,0.000000000,,
1782647004.903465,0.716009498,0.115791582,0.000000000,,,,41.024356958,6.634374531
1782647004.913505,,,,5392.000000000,424.000000000,0.000000000,,
1782647004.913527,0.716009498,0.115815550,0.000000000,,,,41.024356958,6.635747827
1782647004.923444,,,,5410.000000000,438.000000000,0.000000000,,
1782647004.923480,0.716009498,0.115791582,0.000000000,,,,41.024356958,6.634374531
1782647004.933413,,,,5372.000000000,442.000000000,0.000000000,,
1782647004.933428,0.716009498,0.115815550,0.000000000,,,,41.024356958,6.635747827
1782647004.943507,,,,5349.000000000,414.000000000,0.000000000,,
1782647004.943543,0.716009498,0.115791582,0.000000000,,,,41.024356958,6.634374531
1782647004.953516,,,,5361.000000000,430.000000000,0.000000000,,
1782647004.953558,0.716057479,0.115815550,0.000000000,,,,41.027106111,6.635747827
1782647004.963533,,,,5395.000000000,470.000000000,0.000000000,,
1782647004.963562,0.716057479,0.115791582,0.000000000,,,,41.027106111,6.634374531
1782647004.973502,,,,5383.000000000,477.000000000,0.000000000,,
1782647004.973536,0.716057479,0.115791582,0.000000000,,,,41.027106111,6.634374531
1782647004.983493,,,,5332.000000000,412.000000000,0.000000000,,
1782647004.983526,0.716033518,0.115791582,0.000000000,,,,41.025733242,6.634374531
1782647004.993535,,,,5376.000000000,462.000000000,0.000000000,,
1782647004.993576,0.716033518,0.115791582,0.000000000,,,,41.025733242,6.634374531
1782647005.003396,,,,5406.000000000,473.000000000,0.000000000,,
1782647005.003421,0.716033518,0.115791582,0.000000000,,,,41.025733242,6.634374531
1782647005.013492,,,,5329.000000000,435.000000000,0.000000000,,
1782647005.013522,0.716057479,0.115791582,0.000000000,,,,41.027106111,6.634374531
1782647005.023453,,,,5376.000000000,435.000000000,0.000000000,,
1782647005.023495,0.716057479,0.115815550,0.000000000,,,,41.027106111,6.635747827
1782647005.033448,,,,5281.000000000,376.000000000,0.000000000,,
1782647005.033479,0.716033518,0.115791582,0.000000000,,,,41.025733242,6.634374531
1782647005.043475,,,,5347.000000000,459.000000000,0.000000000,,
1782647005.043509,0.716033518,0.115791582,0.000000000,,,,41.025733242,6.634374531
1782647005.053484,,,,5344.000000000,466.000000000,0.000000000,,
1782647005.053526,0.716033518,0.115791582,0.000000000,,,,41.025733242,6.634374531
1782647005.063544,,,,5329.000000000,454.000000000,0.000000000,,
1782647005.063588,0.716057479,0.115815550,0.000000000,,,,41.027106111,6.635747827
1782647005.073576,,,,5320.000000000,423.000000000,0.000000000,,
1782647005.073618,0.716057479,0.115791582,0.000000000,,,,41.027106111,6.634374531
1782647005.083502,,,,5303.000000000,399.000000000,0.000000000,,
1782647005.083537,0.716057479,0.115791582,0.000000000,,,,41.027106111,6.634374531
1782647005.093517,,,,5322.000000000,440.000000000,0.000000000,,
1782647005.093561,0.716033518,0.115815550,0.000000000,,,,41.025733242,6.635747827
1782647005.103491,,,,5299.000000000,435.000000000,0.000000000,,
1782647005.103535,0.716057479,0.115791582,0.000000000,,,,41.027106111,6.634374531
1782647005.113424,,,,5264.000000000,389.000000000,0.000000000,,
1782647005.113448,0.716081440,0.115791582,0.000000000,,,,41.028478981,6.634374531
1782647005.123455,,,,5352.000000000,457.000000000,0.000000000,,
1782647005.123488,0.716057479,0.115815550,0.000000000,,,,41.027106111,6.635747827
1782647005.133483,,,,5317.000000000,440.000000000,0.000000000,,
1782647005.133516,0.716057479,0.115791582,0.000000000,,,,41.027106111,6.634374531
1782647005.143521,,,,5347.000000000,465.000000000,0.000000000,,
1782647005.143564,0.716057479,0.115815550,0.000000000,,,,41.027106111,6.635747827
1782647005.153486,,,,5321.000000000,461.000000000,0.000000000,,
1782647005.153511,0.716057479,0.115791582,0.000000000,,,,41.027106111,6.634374531
1782647005.163445,,,,5356.000000000,461.000000000,0.000000000,,
1782647005.163469,0.716057479,0.115815550,0.000000000,,,,41.027106111,6.635747827
1782647005.173457,,,,5340.000000000,449.000000000,0.000000000,,
1782647005.173500,0.716057479,0.115815550,0.000000000,,,,41.027106111,6.635747827
1782647005.183549,,,,5329.000000000,450.000000000,0.000000000,,
1782647005.183592,0.716105402,0.115815550,0.000000000,,,,41.029851850,6.635747827
1782647005.193452,,,,5364.000000000,461.000000000,0.000000000,,
1782647005.193484,0.716057479,0.115815550,0.000000000,,,,41.027106111,6.635747827
