__time,lift_angle(deg),lpf_b,lpf_r,median_b,median_r,raw_b,raw_r,time
26.559524,34.995577000,5161.075450000,390.701632000,5169.000000000,400.000000000,5142.000000000,395.000000000,26.559524000
26.569382,34.995577000,5164.167905000,393.531468000,5169.500000000,400.000000000,5192.000000000,419.000000000,26.569382000
26.569418,34.994201000,5166.951115000,396.078322000,5170.000000000,400.000000000,5192.000000000,419.000000000,26.569418000
26.579480,34.994201000,5169.556003000,397.470489000,5170.000000000,402.000000000,5193.000000000,410.000000000,26.579480000
26.579514,34.994201000,5171.900403000,398.723441000,5170.000000000,404.000000000,5193.000000000,410.000000000,26.579514000
26.589471,34.994201000,5174.010362000,399.851096000,5171.000000000,405.500000000,5193.000000000,410.000000000,26.589471000
26.589499,34.994201000,5172.609326000,397.965987000,5171.000000000,405.500000000,5160.000000000,381.000000000,26.589499000
26.599950,34.995577000,5171.348394000,396.269388000,5171.000000000,404.000000000,5160.000000000,381.000000000,26.599950000
26.599975,34.995577000,5172.413554000,397.042449000,5172.000000000,404.000000000,5182.000000000,404.000000000,26.599975000
26.610032,34.995577000,5175.572199000,402.438204000,5172.000000000,404.000000000,5204.000000000,451.000000000,26.610032000
26.610048,34.995577000,5178.414979000,407.294384000,5172.000000000,405.500000000,5204.000000000,451.000000000,26.610048000
26.620081,34.995577000,5179.673481000,406.764946000,5172.000000000,404.000000000,5191.000000000,402.000000000,26.620081000
26.620118,34.992828000,5180.806133000,406.288451000,5172.000000000,404.000000000,5191.000000000,402.000000000,26.620118000
26.630127,34.992828000,5184.325520000,405.659606000,5172.000000000,403.000000000,5216.000000000,400.000000000,26.630127000
26.630171,34.994201000,5187.492968000,405.093645000,5172.000000000,402.000000000,5216.000000000,400.000000000,26.630171000
26.640069,34.994201000,5185.243671000,404.184281000,5172.000000000,401.000000000,5165.000000000,396.000000000,26.640069000
26.640085,34.994201000,5183.219304000,403.365853000,5172.000000000,400.000000000,5165.000000000,396.000000000,26.640085000
26.650080,34.994201000,5182.197373000,403.829267000,5172.000000000,400.000000000,5173.000000000,408.000000000,26.650080000
26.650116,34.995577000,5181.277636000,404.246341000,5172.000000000,400.000000000,5173.000000000,408.000000000,26.650116000
26.659986,34.995577000,5175.649872000,402.621707000,5172.000000000,400.000000000,5125.000000000,388.000000000,26.659986000
26.660021,34.995577000,5170.584885000,401.159536000,5172.000000000,400.000000000,5125.000000000,388.000000000,26.660021000
26.669997,34.995577000,5169.626397000,400.143582000,5172.000000000,400.000000000,5161.000000000,391.000000000,26.669997000
26.670042,34.995577000,5168.763757000,399.229224000,5172.000000000,400.000000000,5161.000000000,391.000000000,26.670042000
26.679922,34.995577000,5165.987381000,400.106302000,5172.000000000,400.000000000,5141.000000000,408.000000000,26.679922000
26.679948,34.992828000,5163.488643000,400.895672000,5172.000000000,400.000000000,5141.000000000,408.000000000,26.679948000
26.689901,34.994201000,5161.239779000,401.606104000,5172.000000000,401.000000000,5141.000000000,408.000000000,26.689901000
26.689927,34.994201000,5159.415801000,397.445494000,5172.000000000,401.000000000,5143.000000000,360.000000000,26.689927000
26.699925,34.994201000,5161.974221000,398.700945000,5172.500000000,402.000000000,5185.000000000,410.000000000,26.699925000
26.699950,34.994201000,5164.276799000,399.830850000,5173.000000000,403.000000000,5185.000000000,410.000000000,26.699950000
26.710060,34.994201000,5163.849119000,398.147765000,5172.500000000,402.000000000,5160.000000000,383.000000000,26.710060000
26.710096,34.995577000,5163.464207000,396.632989000,5172.000000000,401.000000000,5160.000000000,383.000000000,26.710096000
26.719758,34.995577000,5166.017786000,397.969690000,5172.000000000,401.000000000,5189.000000000,410.000000000,26.719758000
26.719774,34.995577000,5168.316008000,399.172721000,5172.000000000,401.000000000,5189.000000000,410.000000000,26.719774000
26.729937,34.995577000,5168.284407000,399.955449000,5170.000000000,401.000000000,5168.000000000,407.000000000,26.729937000
26.729956,34.992828000,5168.255966000,400.659904000,5168.000000000,401.000000000,5168.000000000,407.000000000,26.729956000
26.739921,34.992828000,5163.530370000,396.693913000,5168.000000000,401.000000000,5121.000000000,361.000000000,26.739921000
26.739934,34.992828000,5159.277333000,393.124522000,5168.000000000,401.000000000,5121.000000000,361.000000000,26.739934000
26.749932,34.992828000,5159.049599000,390.312070000,5166.500000000,400.000000000,5157.000000000,365.000000000,26.749932000
26.749948,34.994201000,5158.844639000,387.780863000,5165.000000000,398.000000000,5157.000000000,365.000000000,26.749948000
26.760056,34.994201000,5162.060176000,392.802777000,5165.000000000,400.000000000,5191.000000000,438.000000000,26.760056000
26.760109,34.995577000,5164.954158000,397.322499000,5165.000000000,401.000000000,5191.000000000,438.000000000,26.760109000
26.769807,34.995577000,5164.558742000,398.290249000,5165.000000000,402.000000000,5161.000000000,407.000000000,26.769807000
26.769831,34.995577000,5164.202868000,399.161224000,5165.000000000,403.000000000,5161.000000000,407.000000000,26.769831000
26.779948,34.995577000,5168.282581000,403.245102000,5165.000000000,403.000000000,5205.000000000,440.000000000,26.779948000
26.779980,34.995577000,5171.954323000,406.920592000,5165.000000000,403.000000000,5205.000000000,440.000000000,26.779980000
26.790057,34.995577000,5172.958891000,408.828532000,5166.500000000,405.500000000,5182.000000000,426.000000000,26.790057000
26.790107,34.992828000,5173.863002000,410.545679000,5168.000000000,407.000000000,5182.000000000,426.000000000,26.790107000
26.800138,34.992828000,5174.476701000,409.191111000,5170.500000000,407.000000000,5180.000000000,397.000000000,26.800138000
26.800184,34.994201000,5175.029031000,407.972000000,5173.000000000,407.000000000,5180.000000000,397.000000000,26.800184000
26.809875,34.994201000,5168.926128000,403.274800000,5173.000000000,407.000000000,5114.000000000,361.000000000,26.809875000
26.809909,34.995577000,5163.433515000,399.047320000,5173.000000000,407.000000000,5114.000000000,361.000000000,26.809909000
26.819972,34.995577000,5166.990164000,401.442588000,5173.000000000,407.000000000,5199.000000000,423.000000000,26.819972000
26.820017,34.994201000,5170.191147000,403.598329000,5173.000000000,407.000000000,5199.000000000,423.000000000,26.820017000
26.829993,34.994201000,5166.472033000,401.638496000,5170.500000000,405.500000000,5133.000000000,384.000000000,26.829993000
26.830009,34.995577000,5163.124829000,399.874647000,5168.000000000,403.000000000,5133.000000000,384.000000000,26.830009000
26.840013,34.995577000,5162.512347000,400.987182000,5166.500000000,403.000000000,5157.000000000,411.000000000,26.840013000
26.840056,34.992828000,5161.961112000,401.988464000,5166.500000000,405.500000000,5157.000000000,411.000000000,26.840056000
26.849931,34.992828000,5161.465001000,399.489617000,5166.500000000,405.500000000,5157.000000000,377.000000000,26.849931000
26.849963,34.992828000,5161.018501000,397.240656000,5165.000000000,404.500000000,5157.000000000,377.000000000,26.849963000
26.859959,34.992828000,5161.716651000,397.916590000,5165.000000000,403.000000000,5168.000000000,404.000000000,26.859959000
26.859977,34.994201000,5162.344985000,398.524931000,5165.000000000,403.000000000,5168.000000000,404.000000000,26.859977000
26.869744,34.994201000,5162.610487000,397.572438000,5165.000000000,403.000000000,5165.000000000,389.000000000,26.869744000
26.869757,34.995577000,5162.849438000,396.715194000,5165.000000000,402.000000000,5165.000000000,389.000000000,26.869757000
26.879914,34.995577000,5160.064494000,396.343675000,5163.000000000,402.000000000,5135.000000000,393.000000000,26.879914000
26.879945,34.995577000,5157.558045000,396.009307000,5161.000000000,400.500000000,5135.000000000,393.000000000,26.879945000
26.890146,34.995577000,5153.902240000,391.708377000,5161.000000000,400.500000000,5121.000000000,353.000000000,26.890146000
26.890190,34.995577000,5150.612016000,387.837539000,5161.000000000,400.500000000,5121.000000000,353.000000000,26.890190000
26.899977,34.995577000,5152.150815000,389.653785000,5161.000000000,400.500000000,5166.000000000,406.000000000,26.899977000
26.899992,34.992828000,5153.535733000,391.288407000,5161.000000000,400.500000000,5166.000000000,406.000000000,26.899992000
26.909990,34.992828000,5156.382160000,392.559566000,5161.000000000,404.000000000,5182.000000000,404.000000000,26.909990000
