__time,/debug_geometry/a,/debug_geometry/b,/debug_geometry/c,/debug_geometry/d,/debug_geometry/e,/debug_geometry/f,/debug_geometry/fc,/debug_geometry/lw,/debug_geometry/w
1782808494.530796,0.000000000,0.376775457,1.132830416,0.864296440,0.322551966,0.000244703,45284.071928475,3.322096479,3.335584445
1782808494.540160,0.000000000,0.376893687,1.132841372,0.864200568,0.322638448,0.000244354,45233.127007517,3.320888632,3.328291234
1782808494.550145,0.000000000,0.376962659,1.132847687,0.864136614,0.322746434,0.000243932,44722.239789411,3.319427789,3.286466661
1782808494.560889,0.000000000,0.377057310,1.132856260,0.864056631,0.322837633,0.000243569,44030.699411885,3.318167335,3.232052806
1782808494.570208,0.000000000,0.377149660,1.132864523,0.863976589,0.322940315,0.000243161,43981.813940819,3.316753992,3.224438375
1782808494.580305,0.000000000,0.377291052,1.132876978,0.863864458,0.323021290,0.000242827,43582.842833535,3.315592076,3.191909436
1782808494.590279,0.000000000,0.377398362,1.132886272,0.863776281,0.323103860,0.000242492,43100.903554892,3.314428901,3.153367399
1782808494.600193,0.000000000,0.377465625,1.132892028,0.863712116,0.323218786,0.000242040,42809.417133131,3.312859724,3.127693139
1782808494.610349,0.000000000,0.377541886,1.132898489,0.863647920,0.323287393,0.000241764,42260.657398103,3.311897123,3.084967437
1782808494.620270,0.000000000,0.377618865,1.132904941,0.863583691,0.323352087,0.000241502,41774.393106609,3.310984538,3.047003839
1782808494.630322,0.000000000,0.377674735,1.132909579,0.863527463,0.323467139,0.000241050,41495.178769690,3.309411351,3.022414398
1782808494.640243,0.000000000,0.377843557,1.132923371,0.863398855,0.323519536,0.000240817,41273.685315524,3.308598676,3.004111449
1782808494.650252,0.000000000,0.377900810,1.132927972,0.863350600,0.323569807,0.000240613,41208.372794729,3.307887155,2.997461078
1782808494.660498,0.000000000,0.377945978,1.132931574,0.863318416,0.323567576,0.000240613,41041.977611233,3.307887155,2.985357637
1782808494.670164,0.000000000,0.377997961,1.132935690,0.863270121,0.323644571,0.000240307,40460.905190810,3.306819301,2.940296484
1782808494.680176,0.000000000,0.378046132,1.132939475,0.863229868,0.323683840,0.000240146,39333.623721768,3.306259495,2.856952884
1782808494.690243,0.000000000,0.378125884,1.132945682,0.863165433,0.323732868,0.000239942,38506.556243102,3.305546750,2.795105033
1782808494.700218,0.000000000,0.378151477,1.132947658,0.863141260,0.323773177,0.000239782,38308.454763248,3.304986674,2.779337976
1782808494.710429,0.000000000,0.378176299,1.132949567,0.863117092,0.323817293,0.000239607,37544.889515617,3.304375167,2.722455724
