__time,/debug/f,/debug/fc,/debug/lw,/debug/pb,/debug/pr,/debug/theta_g,/debug/theta_i,/debug/w
1783004825.453494,0.000000000,0.000000000,0.000000000,7004608.294930875,511490.218817713,0.727332687,0.000000000,2878.440837242
1783004825.463366,0.000000000,0.000000000,0.000000000,6959440.900906400,443128.757591479,0.727332687,0.000000000,2879.603907722
1783004825.473453,0.000000000,0.000000000,0.000000000,6939909.054841761,427259.132663961,0.727332687,0.000000000,2875.956095762
1783004825.483437,0.000000000,0.000000000,0.000000000,7014374.217963194,498062.074648274,0.727332687,0.000000000,2886.740931121
1783004825.493352,0.000000000,0.000000000,0.000000000,6943571.275978881,478530.228583636,0.727332687,0.000000000,2861.999250003
1783004825.503470,0.000000000,0.000000000,0.000000000,6997283.852656636,517593.920712912,0.727332687,0.000000000,2873.418487442
1783004825.513532,0.000000000,0.000000000,0.000000000,7011932.737205115,512710.959196753,0.727332687,0.000000000,2881.242779762
1783004825.524149,0.000000000,0.000000000,0.000000000,7052217.169713431,531022.064882351,0.727332687,0.000000000,2893.137818761
1783004825.533423,0.000000000,0.000000000,0.000000000,6954557.939390240,443128.757591479,0.727332687,0.000000000,2877.489234122
1783004825.543595,0.000000000,0.000000000,0.000000000,7066866.054261910,532242.805261391,0.727332687,0.000000000,2899.111771680
1783004825.553302,0.000000000,0.000000000,0.000000000,7011932.737205115,505386.516922513,0.727332687,0.000000000,2883.463187041
1783004825.563414,0.000000000,0.000000000,0.000000000,7011932.737205115,505386.516922513,0.727332687,0.000000000,2883.463187041
1783004825.573672,0.000000000,0.000000000,0.000000000,6924039.429914243,440687.276833399,0.727332687,0.000000000,2865.012659883
1783004825.583391,0.000000000,0.000000000,0.000000000,6953337.199011200,474868.007446516,0.727332687,0.000000000,2867.338800843
1783004825.593463,0.000000000,0.000000000,0.000000000,7000946.073793756,495620.593890194,0.727332687,0.000000000,2881.665714482
1783004825.603639,0.000000000,0.000000000,0.000000000,7022919.400616474,505386.516922513,0.727332687,0.000000000,2888.221202641
1783004825.613431,0.000000000,0.000000000,0.000000000,7022919.400616474,511490.218817713,0.727332687,0.000000000,2886.370863241
1783004825.623486,0.000000000,0.000000000,0.000000000,6999725.333414716,501724.295785394,0.727332687,0.000000000,2879.286706682
1783004825.633468,0.000000000,0.000000000,0.000000000,6944792.016357921,452894.680623798,0.727332687,0.000000000,2870.299343883
1783004825.643338,0.000000000,0.000000000,0.000000000,7015594.958342235,495620.593890194,0.727308726,0.000000000,2888.043243355
1783004825.653448,0.000000000,0.000000000,0.000000000,7042451.246681112,524918.362987152,0.727332687,0.000000000,2890.758810961
1783004825.663411,0.000000000,0.000000000,0.000000000,6985076.448866237,512710.959196753,0.727332687,0.000000000,2869.612074963
1783004825.673602,0.000000000,0.000000000,0.000000000,6866664.632099369,350352.488784448,0.727332687,0.000000000,2867.550268203
1783004825.683351,0.000000000,0.000000000,0.000000000,7040009.765923033,517593.920712912,0.727332687,0.000000000,2891.921881441
1783004825.693504,0.000000000,0.000000000,0.000000000,7033906.064027833,535905.026398511,0.727332687,0.000000000,2883.727521241
1783004825.703378,0.000000000,0.000000000,0.000000000,6977752.006591998,488296.151615955,0.727308726,0.000000000,2873.874765849
1783004825.713458,0.000000000,0.000000000,0.000000000,6980193.487350077,478530.228583636,0.727332687,0.000000000,2877.859302002
1783004825.723768,0.000000000,0.000000000,0.000000000,6996063.112277596,478530.228583636,0.727332687,0.000000000,2884.731991201
1783004825.733456,0.000000000,0.000000000,0.000000000,7004608.294930875,454115.421002838,0.727332687,0.000000000,2895.834027600
1783004825.743465,0.000000000,0.000000000,0.000000000,7022919.400616474,511490.218817713,0.727332687,0.000000000,2886.370863241
1783004825.753469,0.000000000,0.000000000,0.000000000,7022919.400616474,511490.218817713,0.727332687,0.000000000,2886.370863241
1783004825.763412,0.000000000,0.000000000,0.000000000,6991180.150761437,490737.632374035,0.727332687,0.000000000,2878.916638802
1783004825.773581,0.000000000,0.000000000,0.000000000,6956999.420148320,445570.238349559,0.727332687,0.000000000,2877.806435162
1783004825.783396,0.000000000,0.000000000,0.000000000,7002166.814172796,500503.555406354,0.727332687,0.000000000,2880.714111362
1783004825.793497,0.000000000,0.000000000,0.000000000,7009491.256447035,527359.843745232,0.727308726,0.000000000,2875.777994170
1783004825.803532,0.000000000,0.000000000,0.000000000,6967986.083559679,487075.411236915,0.727332687,0.000000000,2869.982142843
1783004825.813508,0.000000000,0.000000000,0.000000000,6986297.189245277,472426.526688437,0.727332687,0.000000000,2882.352983402
1783004825.823621,0.000000000,0.000000000,0.000000000,6997283.852656636,477309.488204596,0.727332687,0.000000000,2885.630727481
1783004825.833357,0.000000000,0.000000000,0.000000000,6961882.381664479,458998.382518998,0.727332687,0.000000000,2875.850362082
