__time,/vehicle/loader_joint_angles/data[0],/vehicle/loader_joint_angles/data[1],/vehicle/loader_joint_angles/layout/data_offset,/vehicle/loader_joint_pressures/data[0],/vehicle/loader_joint_pressures/data[1],/vehicle/loader_joint_pressures/layout/data_offset
1782548336.638971,0.078496672,0.162146568,0.000000000,,,
1782548336.649169,,,,4491.000000000,454.000000000,0.000000000
1782548336.649239,0.078496672,0.161691174,0.000000000,,,
1782548336.659023,,,,4510.000000000,471.000000000,0.000000000
1782548336.659056,0.078209057,0.161187828,0.000000000,,,
1782548336.668911,,,,4401.000000000,338.000000000,0.000000000
1782548336.668923,0.077969372,0.160756394,0.000000000,,,
1782548336.679057,,,,4482.000000000,434.000000000,0.000000000
1782548336.679088,0.077729687,0.160324961,0.000000000,,,
1782548336.688911,,,,4404.000000000,377.000000000,0.000000000
1782548336.688941,0.077322222,0.159677818,0.000000000,,,
1782548336.699084,,,,4393.000000000,369.000000000,0.000000000
1782548336.699120,0.077034600,0.159246385,0.000000000,,,
1782548336.709020,,,,4494.000000000,484.000000000,0.000000000
1782548336.709040,0.076723009,0.158695117,0.000000000,,,
1782548336.718880,,,,4454.000000000,399.000000000,0.000000000
1782548336.718922,0.076411419,0.158263683,0.000000000,,,
1782548336.729020,,,,4448.000000000,379.000000000,0.000000000
1782548336.729059,0.076195702,0.157832250,0.000000000,,,
1782548336.738910,,,,4451.000000000,385.000000000,0.000000000
1782548336.738923,0.075979985,0.157185093,0.000000000,,,
1782548336.748951,,,,4434.000000000,373.000000000,0.000000000
1782548336.748988,0.075548559,0.156753659,0.000000000,,,
1782548336.759008,,,,4465.000000000,414.000000000,0.000000000
1782548336.759046,0.075236969,0.156346202,0.000000000,,,
1782548336.769059,,,,4377.000000000,380.000000000,0.000000000
1782548336.769093,0.074877441,0.155794933,0.000000000,,,
1782548336.778991,,,,4403.000000000,375.000000000,0.000000000
1782548336.779021,0.074637756,0.155363500,0.000000000,,,
1782548336.788899,,,,4435.000000000,379.000000000,0.000000000
1782548336.788929,0.074326165,0.154956028,0.000000000,,,
1782548336.799188,,,,4443.000000000,395.000000000,0.000000000
1782548336.799242,0.074038543,0.154308885,0.000000000,,,
1782548336.808810,,,,4471.000000000,442.000000000,0.000000000
1782548336.808836,0.073726952,0.153853491,0.000000000,,,
1782548336.818921,,,,4408.000000000,377.000000000,0.000000000
1782548336.818950,0.073247582,0.153350145,0.000000000,,,
1782548336.828986,,,,4459.000000000,434.000000000,0.000000000
1782548336.829007,0.073031865,0.152894750,0.000000000,,,
1782548336.839089,,,,4407.000000000,371.000000000,0.000000000
1782548336.839124,0.072792187,0.152439341,0.000000000,,,
1782548336.849074,,,,4380.000000000,338.000000000,0.000000000
1782548336.849117,0.072480597,0.151840135,0.000000000,,,
1782548336.858904,,,,4443.000000000,400.000000000,0.000000000
1782548336.858934,0.072192974,0.151408702,0.000000000,,,
1782548336.869072,,,,4436.000000000,392.000000000,0.000000000
1782548336.869111,0.071881384,0.150953308,0.000000000,,,
1782548336.879018,,,,4434.000000000,380.000000000,0.000000000
1782548336.879046,0.071425982,0.150426000,0.000000000,,,
1782548336.888983,,,,4409.000000000,388.000000000,0.000000000
1782548336.889017,0.071186297,0.150042504,0.000000000,,,
1782548336.898930,,,,4469.000000000,402.000000000,0.000000000
1782548336.898964,0.070970580,0.149371386,0.000000000,,,
1782548336.908919,,,,4474.000000000,435.000000000,0.000000000
1782548336.908949,0.070682958,0.148939952,0.000000000,,,
1782548336.919022,,,,4403.000000000,328.000000000,0.000000000
1782548336.919052,0.070371367,0.148484558,0.000000000,,,
1782548336.929013,,,,4439.000000000,391.000000000,0.000000000
1782548336.929041,0.070059784,0.147957250,0.000000000,,,
1782548336.938812,,,,4439.000000000,420.000000000,0.000000000
1782548336.938838,0.069652319,0.147501841,0.000000000,,,
1782548336.948956,,,,4459.000000000,428.000000000,0.000000000
1782548336.948992,0.069436602,0.147094384,0.000000000,,,
1782548336.958862,,,,4415.000000000,381.000000000,0.000000000
1782548336.958889,0.069172949,0.146447226,0.000000000,,,
1782548336.968868,,,,4446.000000000,379.000000000,0.000000000
1782548336.968895,0.068861358,0.145991832,0.000000000,,,
1782548336.978744,,,,4384.000000000,356.000000000,0.000000000
1782548336.978777,0.068549767,0.145560399,0.000000000,,,
1782548336.988919,,,,4431.000000000,380.000000000,0.000000000
1782548336.988959,0.068046428,0.145009130,0.000000000,,,
1782548336.998916,,,,4455.000000000,435.000000000,0.000000000
1782548336.998956,0.067806743,0.145009130,0.000000000,,,
1782548337.008890,,,,4423.000000000,400.000000000,0.000000000
1782548337.008917,0.067567065,0.144577697,0.000000000,,,
1782548337.018879,,,,4366.000000000,348.000000000,0.000000000
1782548337.018910,0.067303412,0.144002452,0.000000000,,,
1782548337.029003,,,,4403.000000000,372.000000000,0.000000000
1782548337.029042,0.066991821,0.143547043,0.000000000,,,
1782548337.038894,,,,4393.000000000,361.000000000,0.000000000
1782548337.038914,0.066704199,0.143091649,0.000000000,,,
1782548337.048859,,,,4450.000000000,406.000000000,0.000000000
1782548337.048894,0.066200860,0.142540380,0.000000000,,,
1782548337.058886,,,,4413.000000000,383.000000000,0.000000000
1782548337.058924,0.065937206,0.142132908,0.000000000,,,
1782548337.068953,,,,4499.000000000,482.000000000,0.000000000
1782548337.068992,0.065745458,0.141677514,0.000000000,,,
1782548337.078769,,,,4397.000000000,396.000000000,0.000000000
1782548337.078782,0.065433867,0.141078293,0.000000000,,,
1782548337.088785,,,,4424.000000000,414.000000000,0.000000000
1782548337.088816,0.064858630,0.140622899,0.000000000,,,
1782548337.098888,,,,4435.000000000,393.000000000,0.000000000
1782548337.098926,0.064618945,0.140167505,0.000000000,,,
1782548337.108906,,,,4431.000000000,428.000000000,0.000000000
1782548337.108942,0.064379260,0.139568284,0.000000000,,,
1782548337.118816,,,,4438.000000000,418.000000000,0.000000000
1782548337.118849,0.064187512,0.139136851,0.000000000,,,
1782548337.128861,,,,4341.000000000,326.000000000,0.000000000
1782548337.128899,0.063899890,0.138561606,0.000000000,,,
1782548337.138868,,,,4384.000000000,354.000000000,0.000000000
1782548337.138889,0.063612267,0.138130173,0.000000000,,,
1782548337.148795,,,,4400.000000000,353.000000000,0.000000000
1782548337.148828,0.063037023,0.137674779,0.000000000,,,
1782548337.158689,,,,4435.000000000,357.000000000,0.000000000
1782548337.158716,0.062749401,0.137099534,0.000000000,,,
1782548337.168835,,,,4440.000000000,415.000000000,0.000000000
1782548337.168875,0.062461782,0.136668101,0.000000000,,,
1782548337.179868,,,,4455.000000000,440.000000000,0.000000000
1782548337.179899,0.062341940,0.136212707,0.000000000,,,
1782548337.189682,,,,4436.000000000,419.000000000,0.000000000
1782548337.189702,0.062030349,0.135637462,0.000000000,,,
1782548337.199889,,,,4451.000000000,426.000000000,0.000000000
1782548337.199928,0.061742727,0.135158092,0.000000000,,,
1782548337.209729,,,,4423.000000000,381.000000000,0.000000000
1782548337.209761,0.061143517,0.134558886,0.000000000,,,
1782548337.219772,,,,4349.000000000,313.000000000,0.000000000
1782548337.219798,0.060855895,0.134103477,0.000000000,,,
1782548337.229741,,,,4314.000000000,310.000000000,0.000000000
1782548337.229774,0.060592242,0.133648083,0.000000000,,,
1782548337.239793,,,,4454.000000000,451.000000000,0.000000000
1782548337.239822,0.060424462,0.133096799,0.000000000,,,
1782548337.249692,,,,4413.000000000,412.000000000,0.000000000
1782548337.249720,0.060136843,0.132665381,0.000000000,,,
1782548337.259612,,,,4374.000000000,353.000000000,0.000000000
1782548337.259636,0.059513662,0.132233948,0.000000000,,,
1782548337.269664,,,,4436.000000000,431.000000000,0.000000000
1782548337.269695,0.059250008,0.131610766,0.000000000,,,
1782548337.279618,,,,4339.000000000,330.000000000,0.000000000
1782548337.279657,0.058986358,0.131203294,0.000000000,,,
1782548337.289705,,,,4393.000000000,363.000000000,0.000000000
1782548337.289809,0.058818579,0.130747899,0.000000000,,,
1782548337.299564,,,,4369.000000000,372.000000000,0.000000000
1782548337.299594,0.058554925,0.130172655,0.000000000,,,
1782548337.309758,,,,4397.000000000,415.000000000,0.000000000
1782548337.309798,0.058267303,0.129717261,0.000000000,,,
1782548337.319700,,,,4473.000000000,446.000000000,0.000000000
1782548337.319748,0.057668094,0.129070103,0.000000000,,,
1782548337.329650,,,,4349.000000000,313.000000000,0.000000000
1782548337.329683,0.057380471,0.128686607,0.000000000,,,
1782548337.339652,,,,4344.000000000,324.000000000,0.000000000
1782548337.339690,0.057140786,0.128231212,0.000000000,,,
1782548337.349580,,,,4405.000000000,361.000000000,0.000000000
1782548337.349613,0.056973007,0.127679929,0.000000000,,,
1782548337.359592,,,,4403.000000000,392.000000000,0.000000000
1782548337.359617,0.056397762,0.127200574,0.000000000,,,
1782548337.369717,,,,4403.000000000,396.000000000,0.000000000
1782548337.369750,0.056086175,0.126745164,0.000000000,,,
1782548337.379786,,,,4401.000000000,380.000000000,0.000000000
1782548337.379817,0.055798553,0.126145959,0.000000000,,,
1782548337.389559,,,,4400.000000000,353.000000000,0.000000000
1782548337.389589,0.055510931,0.125738487,0.000000000,,,
1782548337.399627,,,,4444.000000000,395.000000000,0.000000000
1782548337.399658,0.055343151,0.125283092,0.000000000,,,
1782548337.409617,,,,4436.000000000,393.000000000,0.000000000
1782548337.409656,0.055079497,0.124755785,0.000000000,,,
1782548337.419732,,,,4465.000000000,446.000000000,0.000000000
1782548337.419780,0.054767910,0.124300383,0.000000000,,,
1782548337.429712,,,,4463.000000000,438.000000000,0.000000000
1782548337.429757,0.054192666,0.123653233,0.000000000,,,
1782548337.439658,,,,4326.000000000,318.000000000,0.000000000
1782548337.439691,0.053881075,0.123221807,0.000000000,,,
1782548337.449531,,,,4330.000000000,289.000000000,0.000000000
1782548337.449557,0.053593457,0.122766405,0.000000000,,,
1782548337.459605,,,,4407.000000000,377.000000000,0.000000000
1782548337.459630,0.053425677,0.122191161,0.000000000,,,
1782548337.469543,,,,4370.000000000,336.000000000,0.000000000
1782548337.469564,0.053138055,0.121735759,0.000000000,,,
1782548337.479571,,,,4401.000000000,387.000000000,0.000000000
1782548337.479602,0.052586779,0.121256389,0.000000000,,,
1782548337.489580,,,,4430.000000000,447.000000000,0.000000000
1782548337.489619,0.052299161,0.120657183,0.000000000,,,
1782548337.499588,,,,4395.000000000,376.000000000,0.000000000
1782548337.499619,0.051987570,0.120225750,0.000000000,,,
1782548337.509690,,,,4396.000000000,379.000000000,0.000000000
1782548337.509729,0.051843759,0.119722411,0.000000000,,,
1782548337.519589,,,,4376.000000000,346.000000000,0.000000000
1782548337.519625,0.051556136,0.119267009,0.000000000,,,
1782548337.529626,,,,4448.000000000,424.000000000,0.000000000
1782548337.529653,0.051268514,0.118811607,0.000000000,,,
1782548337.539644,,,,4400.000000000,400.000000000,0.000000000
1782548337.539673,0.050717242,0.118188426,0.000000000,,,
1782548337.549641,,,,4376.000000000,387.000000000,0.000000000
1782548337.549665,0.050405651,0.117757000,0.000000000,,,
1782548337.559559,,,,4353.000000000,326.000000000,0.000000000
1782548337.559593,0.050165966,0.117301598,0.000000000,,,
1782548337.569497,,,,4377.000000000,336.000000000,0.000000000
1782548337.569535,0.049926281,0.116774291,0.000000000,,,
1782548337.579465,,,,4335.000000000,310.000000000,0.000000000
1782548337.579480,0.049662631,0.116342857,0.000000000,,,
1782548337.589616,,,,4397.000000000,393.000000000,0.000000000
1782548337.589656,0.049087387,0.115863487,0.000000000,,,
1782548337.599595,,,,4416.000000000,384.000000000,0.000000000
1782548337.599626,0.048775796,0.115192376,0.000000000,,,
1782548337.609646,,,,4440.000000000,457.000000000,0.000000000
1782548337.609721,0.048464205,0.114760943,0.000000000,,,
1782548337.619619,,,,4348.000000000,352.000000000,0.000000000
1782548337.619665,0.048248492,0.114233635,0.000000000,,,
1782548337.629588,,,,4442.000000000,419.000000000,0.000000000
1782548337.629628,0.047984838,0.113802202,0.000000000,,,
1782548337.639619,,,,4397.000000000,368.000000000,0.000000000
1782548337.639653,0.047721185,0.113370769,0.000000000,,,
1782548337.649584,,,,4399.000000000,389.000000000,0.000000000
1782548337.649631,0.047169909,0.112723626,0.000000000,,,
